"","spp","gname","FBgn","v3","cyt","pos","chr","startp","stopp"
"65","Dmel","CG15754","FBgn0030492","1-44","12A2-12A2","X:13528006..13529280(1)","X",13528006,13529280
"66","Dmel","CG30491","FBgn0050491","2-57","43E7-43E7","2R:7655072..7656770(1)","2R",7655072,7656770
"67","Dmel","CG30461","FBgn0050461","2-81","53E4-53E4","2R:16995991..16998594(-1)","2R",16995991,16998594
"68","Dmel","CG42725","FBgn0261670","","56B1-56B1","","",NA,NA
"69","Dmel","tj","FBgn0000964","2-54","37E3-37E3","2L:19464267..19467758(1)","2L",19464267,19467758
"70","Dmel","RpL8","FBgn0261602","3-3","62E7-62E7","3L:2587456..2588883(1)","3L",2587456,2588883
"71","Dmel","CG43740","FBgn0263997","1-31","9B7-9B7","X:10333652..10347794(1)","X",10333652,10347794
"72","Dmel","CG12347","FBgn0038558","3-61","90C10-90C10","3R:17906445..17907451(1)","3R",17906445,17907451
"73","Dmel","CG12498","FBgn0040356","1-2","3C1-3C1","X:2809881..2810846(1)","X",2809881,2810846
"74","Dmel","Cpr78Cc","FBgn0037069","3-47","78C6-78C6","3L:21300580..21301171(1)","3L",21300580,21301171
"75","Dmel","CG40813","FBgn0085521","1-66","","X:22143102..22143816(1)","X",22143102,22143816
"76","Dmel","CG4928","FBgn0027556","1-56","15C1-15C4","X:16913180..16938209(1)","X",16913180,16938209
"77","Dmel","CG42613","FBgn0261262","3-65","91E1-91E1","3R:18929196..18978088(1)","3R",18929196,18978088
"78","Dmel","CG33269","FBgn0053269","3-36","68C13-68C13","3L:11581415..11582197(-1)","3L",11581415,11582197
"79","Dmel","CG7963","FBgn0037584","3-48","84F15-84F15","3R:8362826..8363894(1)","3R",8362826,8363894
"80","Dmel","BTBD9","FBgn0030228","1-32","9E7-9E8","X:10768537..10772154(1)","X",10768537,10772154
"81","Dmel","CG10232","FBgn0039108","3-80","95B1-95B1","3R:23719343..23721625(-1)","3R",23719343,23721625
"82","Dmel","gd","FBgn0000808","1-38","11A1-11A1","X:11985154..11987764(-1)","X",11985154,11987764
"83","Dmel","CG1416","FBgn0032961","2-54","40A2-40A2","2L:21758010..21761000(1)","2L",21758010,21761000
"84","Dmel","CG31954","FBgn0051954","2-10","23F6-23F6","2L:3509058..3510102(-1)","2L",3509058,3510102
"85","Dmel","CG3788","FBgn0034800","2-101","59B6-59B6","2R:22932035..22934077(-1)","2R",22932035,22934077
"86","Dmel","drl","FBgn0015380","2-54","37C7-37C7","2L:19190342..19208621(1)","2L",19190342,19208621
"87","Dmel","wb","FBgn0261563","2-50","35A3-35A4","2L:14263027..14328262(1)","2L",14263027,14328262
"88","Dmel","CG10485","FBgn0261515","","","","",NA,NA
"89","Dmel","CG4866","FBgn0034232","2-83","54C1-54C1","2R:17518223..17519027(1)","2R",17518223,17519027
"90","Dmel","CG10026","FBgn0032785","2-54","37E1-37E1","2L:19454256..19457723(1)","2L",19454256,19457723
"91","Dmel","frj","FBgn0031815","2-20","26D5-26D5","2L:6456052..6459008(1)","2L",6456052,6459008
"92","Dmel","CG13096","FBgn0032050","2-33","29D3-29D3","2L:8509069..8511866(-1)","2L",8509069,8511866
"93","Dmel","Elba2","FBgn0031435","2-7","23A1-23A1","2L:2577687..2579179(1)","2L",2577687,2579179
"94","Dmel","CG42502","FBgn0260228","2-54","37A4-37A4","2L:18808694..18811252(-1)","2L",18808694,18811252
"95","Dmel","snoRNA:Me28S-C3420a","FBgn0083988","2-66","48E9-48E9","2R:12199662..12199752(-1)","2R",12199662,12199752
"96","Dmel","MED18","FBgn0026873","1-0.2","2B13-2B13","X:1865909..1866887(1)","X",1865909,1866887
"97","Dmel","CG13996","FBgn0031763","2-18","26B3-26B3","2L:6020835..6021718(1)","2L",6020835,6021718
"98","Dmel","NetB","FBgn0015774","1-49","12F2-12F3","X:14686038..14749376(-1)","X",14686038,14749376
"99","Dmel","CG30082","FBgn0050082","2-75","52B5-52B5","2R:15685004..15686082(-1)","2R",15685004,15686082
"100","Dmel","Sb","FBgn0003319","3-58","89B4-89B6","3R:16116161..16145284(1)","3R",16116161,16145284
"101","Dmel","EP3-934","FBgn0260806","","","","",NA,NA
"102","Dmel","CG12520","FBgn0036324","3-39","69F1-69F1","3L:12901247..12902737(-1)","3L",12901247,12902737
"103","Dmel","Sdic","FBgn0261516","","","","",NA,NA
"104","Dmel","CG15270","FBgn0028879","2-51","35C1-35C2","2L:15074776..15096915(1)","2L",15074776,15096915
"105","Dmel","snoRNA:Me28S-C3420b","FBgn0083989","2-66","48E8-48E8","2R:12199183..12199273(-1)","2R",12199183,12199273
"106","Dmel","CG3611","FBgn0035069","2-107","60E2-60E2","2R:24798798..24800776(1)","2R",24798798,24800776
"107","Dmel","CG42714","FBgn0261631","3-16","65A10-65A10","3L:6233491..6234056(-1)","3L",6233491,6234056
"108","Dmel","klar","FBgn0001316","3-0.5","61C1-61C3","3L:434083..540614(-1)","3L",434083,540614
"109","Dmel","Obp83b","FBgn0010403","3-47.5","83D1-83D1","3R:5976177..5976817(-1)","3R",5976177,5976817
"110","Dmel","Drat","FBgn0033188","2-56","43D2-43D3","2R:7526118..7532981(-1)","2R",7526118,7532981
"111","Dmel","CG11581","FBgn0030540","1-48","12E2-12E2","X:14176923..14178456(1)","X",14176923,14178456
"112","Dmel","sax","FBgn0003317","2-57","43E18-43E18","2R:7806484..7810067(1)","2R",7806484,7810067
"113","Dmel","Grip98","FBgn0260740","","","","",NA,NA
"114","Dmel","l(2)k08617","FBgn0261518","","","","",NA,NA
"115","Dmel","CG34222","FBgn0250822","2-62","47A1-47A1","2R:10319844..10320500(-1)","2R",10319844,10320500
"116","Dmel","CG8343","FBgn0040502","2-55","42A13-42A13","2R:6179726..6180356(1)","2R",6179726,6180356
"117","Dmel","Rpi","FBgn0050410","2-102","59D8-59D8","2R:23355183..23356441(1)","2R",23355183,23356441
"118","Dmel","CG13625","FBgn0039210","3-85","96A9-96A9","3R:24583067..24585160(-1)","3R",24583067,24585160
"119","Dmel","pre-lola-G","FBgn0264817","2-62","47A11-47A11","2R:10481894..10485252(-1)","2R",10481894,10485252
"120","Dmel","RhoGEF2","FBgn0023172","2-81","53E4-53F1","2R:17027190..17044653(1)","2R",17027190,17044653
"121","Dmel","Patronin","FBgn0263197","2-83","54C1-54C3","2R:17519024..17535866(-1)","2R",17519024,17535866
"122","Dmel","Updo","FBgn0033428","2-61","45F5-45F5","2R:9584643..9586126(1)","2R",9584643,9586126
"123","Dmel","CG12128","FBgn0033473","2-61","46D4-46D6","2R:10026839..10030668(1)","2R",10026839,10030668
"124","Dmel","did","FBgn0261519","3-81.7","","","",NA,NA
"125","Dmel","Sirup","FBgn0031971","2-29","28D3-28D3","2L:7998869..7999676(1)","2L",7998869,7999676
"126","Dmel","CG16825","FBgn0032503","2-48","34B5-34B5","2L:13304788..13307807(1)","2L",13304788,13307807
"127","Dmel","velo","FBgn0035713","3-17","65C3-65C3","3L:6744426..6752752(-1)","3L",6744426,6752752
"128","Dmel","Cp1","FBgn0013770","2-68","50C18-50C20","2R:13960675..13967981(1)","2R",13960675,13967981
"129","Dmel","Ilp1","FBgn0044051","3-31","67C8-67C8","3L:9798420..9799050(1)","3L",9798420,9799050
"130","Dmel","CG31904","FBgn0260479","2-28","28C2-28C2","2L:7734415..7738809(-1)","2L",7734415,7738809
"131","Dmel","Ppt1","FBgn0030057","1-24","8A2-8A2","X:8688627..8690227(-1)","X",8688627,8690227
"132","Dmel","Gale","FBgn0035147","3-0.5","61C8-61C8","3L:648555..651311(1)","3L",648555,651311
"133","Dmel","CG45122","FBgn0266615","3-53","87D9-87D10","3R:13044157..13044529(1)","3R",13044157,13044529
"134","Dmel","B1022","FBgn0259648","","","","",NA,NA
"135","Dmel","mir-5","FBgn0262408","2-90","56E1-56E1","2R:19661158..19661226(-1)","2R",19661158,19661226
"136","Dmel","mir-2489","FBgn0262194","2-48","34C5-34C5","2L:13609974..13610068(1)","2L",13609974,13610068
"137","Dmel","Ser7","FBgn0019929","1-30","9A2-9A2","X:9865233..9867070(1)","X",9865233,9867070
"138","Dmel","Taf1","FBgn0010355","3-48","84A1-84A1","3R:6646889..6656048(1)","3R",6646889,6656048
"139","Dmel","mir-995","FBgn0262185","3-69","92F10-92F10","3R:20735923..20736012(1)","3R",20735923,20736012
"140","Dmel","mir-277","FBgn0262419","3-49","85F10-85F10","3R:10100022..10100121(1)","3R",10100022,10100121
"141","Dmel","Hr83","FBgn0037436","3-47.5","83E4-83E4","3R:6349243..6350512(1)","3R",6349243,6350512
"142","Dmel","CG6073","FBgn0039417","3-90","97A4-97A4","3R:26187018..26188807(-1)","3R",26187018,26188807
"143","Dmel","CG32716","FBgn0261520","","","","",NA,NA
"144","Dmel","stich1","FBgn0261521","3-","","","",NA,NA
"145","Dmel","CG45100","FBgn0266539","3-47.5","83A4-83A4","3R:5472810..5474600(-1)","3R",5472810,5474600
"146","Dmel","mir-7","FBgn0262370","2-91","57A7-57A7","2R:20606067..20606154(1)","2R",20606067,20606154
"147","Dmel","Dlish","FBgn0034264","2-84","54E2-54E2","2R:17723309..17725056(1)","2R",17723309,17725056
"148","Dmel","B1365","FBgn0259649","","","","",NA,NA
"149","Dmel","sls","FBgn0086906","3-1.5","62C2-62C4","3L:2039681..2115611(-1)","3L",2039681,2115611
"150","Dmel","Shawn","FBgn0031039","1-63","18D3-18D3","X:19611526..19615617(1)","X",19611526,19615617
"151","Dmel","Tep5","FBgn0264845","2-54","37F1-37F1","2L:19558047..19563049(1)","2L",19558047,19563049
"152","Dmel","CG11670","FBgn0038114","3-53","87D9-87D10","3R:13042050..13044086(1)","3R",13042050,13044086
"153","Dmel","l(3)CHh","FBgn0086424","","","","",NA,NA
"154","Dmel","AttC","FBgn0041579","2-68","50A3-50A3","2R:13393705..13394667(1)","2R",13393705,13394667
"155","Dmel","Phlpp","FBgn0032749","2-54","37B12-37B13","2L:19059129..19063132(1)","2L",19059129,19063132
"156","Dmel","phyl","FBgn0013725","2-71","51A2-51A2","2R:14427336..14432337(-1)","2R",14427336,14432337
"157","Dmel","CG44013","FBgn0264775","3-57","88F7-88F7","3R:15508896..15509917(-1)","3R",15508896,15509917
"158","Dmel","CG12184","FBgn0025387","1-8","4C10-4C10","X:4627380..4630936(-1)","X",4627380,4630936
"159","Dmel","CG41071","FBgn0069952","","38C2-38C2","","",NA,NA
"160","Dmel","cu","FBgn0261808","3-50","86D7-86D7","3R:11197592..11208633(1)","3R",11197592,11208633
"161","Dmel","2L2983","FBgn0260619","2-","","","",NA,NA
"162","Dmel","CG12688","FBgn0029707","1-8","4C2-4C2","X:4380758..4382466(1)","X",4380758,4382466
"163","Dmel","CG12702","FBgn0031070","1-64","18F1-18F1","X:19759173..19764874(-1)","X",19759173,19764874
"164","Dmel","B1521","FBgn0259650","","","","",NA,NA
"165","Dmel","porin","FBgn0004363","2-43","32B1-32B1","2L:10847227..10850848(-1)","2L",10847227,10850848
"166","Dmel","CG12309","FBgn0033542","2-63","47B7-47B7","2R:10725270..10727272(1)","2R",10725270,10727272
"167","Dmel","mir-137","FBgn0262446","2-77","52E1-52E1","2R:16065254..16065344(-1)","2R",16065254,16065344
"168","Dmel","mir-288","FBgn0262425","2-54","38D1-38D1","2L:20618366..20618462(-1)","2L",20618366,20618462
"169","Dmel","mir-1011","FBgn0262422","3-69","93A2-93A2","3R:20853305..20853358(-1)","3R",20853305,20853358
"170","Dmel","mir-967","FBgn0262203","2-46","33E5-33E5","2L:12460004..12460100(-1)","2L",12460004,12460100
"171","Dmel","mir-2282","FBgn0262260","3-8","63D3-63D3","3L:3412145..3412251(-1)","3L",3412145,3412251
"172","Dmel","mir-1008","FBgn0262412","2-63","47C5-47C5","2R:10885533..10885589(1)","2R",10885533,10885589
"173","Dmel","mir-1009","FBgn0262435","2-106","60B1-60B1","2R:23993054..23993114(-1)","2R",23993054,23993114
"174","Dmel","CG12256","FBgn0038002","3-52","87B2-87B2","3R:12225282..12226339(-1)","3R",12225282,12226339
"175","Dmel","CG4293","FBgn0024983","1-0","1B8-1B9","X:527941..530291(-1)","X",527941,530291
"176","Dmel","mir-287","FBgn0262400","2-53","36D1-36D1","2L:17574610..17574702(1)","2L",17574610,17574702
"177","Dmel","mir-3","FBgn0262372","2-90","56E1-56E1","2R:19661595..19661663(-1)","2R",19661595,19661663
"178","Dmel","mir-92b","FBgn0262388","3-88","96E6-96E6","3R:25651398..25651497(1)","3R",25651398,25651497
"179","Dmel","mir-313","FBgn0262441","2-91","57A6-57A6","2R:20584190..20584260(-1)","2R",20584190,20584260
"180","Dmel","cd","FBgn0263986","3-76","94C1-94C1","3R:22694959..22697990(1)","3R",22694959,22697990
"181","Dmel","CG12725","FBgn0030483","1-43","11F4-11F4","X:13401839..13402863(-1)","X",13401839,13402863
"182","Dmel","Ccp84Ag","FBgn0004777","3-48","84A2-84A2","3R:6686728..6688039(1)","3R",6686728,6688039
"183","Dmel","snRNA:U11","FBgn0083987","3-9","63F5-63F5","3L:3893056..3893330(-1)","3L",3893056,3893330
"184","Dmel","zen","FBgn0004053","3-48","84A5-84A5","3R:6752864..6754194(-1)","3R",6752864,6754194
"185","Dmel","CG44954","FBgn0266259","3-101","100A1-100A1","3R:30618626..30621906(-1)","3R",30618626,30621906
"186","Dmel","CG43111","FBgn0262571","2-89","56D15-56D15","2R:19552071..19552672(1)","2R",19552071,19552672
"187","Dmel","CG6262","FBgn0034121","2-80","53C2-53C2","2R:16359730..16363524(1)","2R",16359730,16363524
"188","Dmel","CG42704","FBgn0261615","1-20","7B2-7B2","X:7412668..7413296(1)","X",7412668,7413296
"189","Dmel","CG34015","FBgn0054015","1-53","14C6-14C6","X:16447568..16448302(-1)","X",16447568,16448302
"190","Dmel","Ocho","FBgn0040296","3-42","71A4-71A4","3L:14974848..14976040(1)","3L",14974848,14976040
"191","Dmel","skf","FBgn0262600","","","","",NA,NA
"192","Dmel","CG34007","FBgn0054007","2-54","38C8-38C8","2L:20495030..20495758(1)","2L",20495030,20495758
"193","Dmel","5SrRNA","FBgn0000002","2-[90]","56F1-56F2","","",NA,NA
"194","Dmel","mir-1007","FBgn0262454","1-65","19F3-19F3","X:21296385..21296449(-1)","X",21296385,21296449
"195","Dmel","mir-9b","FBgn0262413","2-52","36A10-36A10","2L:16698744..16698834(1)","2L",16698744,16698834
"196","Dmel","mir-2494","FBgn0262233","3-59","89D5-89D5","3R:16618766..16618882(1)","3R",16618766,16618882
"197","Dmel","B0326","FBgn0259651","","","","",NA,NA
"198","Dmel","CR10991","FBgn0037389","3-47.5","83C5-83C5","3R:5848953..5849688(1)","3R",5848953,5849688
"199","Dmel","4.5SRNA","FBgn0000001","3-[21]","65A-65A","","",NA,NA
"200","Dmel","CG8366","FBgn0034054","2-76","52D6-52D6","2R:15955040..15956636(1)","2R",15955040,15956636
"201","Dmel","SP1173","FBgn0035710","3-17","65C1-65C3","3L:6689327..6703521(-1)","3L",6689327,6703521
"202","Dmel","Cyp316a1","FBgn0035790","3-21","66A2-66A2","3L:7491864..7493484(1)","3L",7491864,7493484
"203","Dmel","l(3)CHg","FBgn0086423","","","","",NA,NA
"204","Dmel","Osi4","FBgn0037412","3-47.5","83E1-83E1","3R:6218318..6221781(-1)","3R",6218318,6221781
"205","Dmel","CG8620","FBgn0040837","3-19","65E6-65E6","3L:7158099..7158874(1)","3L",7158099,7158874
"206","Dmel","CG10463","FBgn0032819","2-54","38A2-38A2","2L:19758879..19760986(1)","2L",19758879,19760986
"207","Dmel","CG42518","FBgn0260392","2-84","55B11-55B11","2R:18167227..18168380(1)","2R",18167227,18168380
"208","Dmel","fred","FBgn0051774","2-11","24C9-24D1","2L:3902928..3991713(-1)","2L",3902928,3991713
"209","Dmel","CG8813","FBgn0031476","2-7","23B7-23B8","2L:2869652..2870649(1)","2L",2869652,2870649
"210","Dmel","Or7a","FBgn0030016","1-22","7D17-7D17","X:8164266..8165708(-1)","X",8164266,8165708
"211","Dmel","Nos","FBgn0011676","2-43","32B1-32B1","2L:10804274..10837511(-1)","2L",10804274,10837511
"212","Dmel","Sap-r","FBgn0000416","3-101","100A6-100A7","3R:30883464..30889062(-1)","3R",30883464,30889062
"213","Dmel","ECSIT","FBgn0028436","3-47.5","83C5-83C5","3R:5856585..5857914(1)","3R",5856585,5857914
"214","Dmel","CG10677","FBgn0035596","","64C8-64C8","","",NA,NA
"215","Dmel","Acp26Aa","FBgn0002855","2-18","26A1-26A1","2L:5892883..5893896(-1)","2L",5892883,5893896
"216","Dmel","ng3","FBgn0010295","1-2","3C10-3C10","X:3241491..3242084(-1)","X",3241491,3242084
"217","Dmel","robl62A","FBgn0028567","3-0.5","62A2-62A2","3L:1477619..1478369(1)","3L",1477619,1478369
"218","Dmel","Spn43Aa","FBgn0024294","2-55","42F2-42F3","2R:7147692..7149289(1)","2R",7147692,7149289
"219","Dmel","l(3)CHc","FBgn0086419","","","","",NA,NA
"220","Dmel","snRNA:U6:96Ab","FBgn0004189","3-85","96A7-96A7","3R:24556692..24556798(1)","3R",24556692,24556798
"221","Dmel","sob","FBgn0004892","2-10","24A1-24A1","2L:3578013..3580769(-1)","2L",3578013,3580769
"222","Dmel","alpha-Est8","FBgn0015576","3-48","84D9-84D9","3R:7509343..7515670(-1)","3R",7509343,7515670
"223","Dmel","CG10814","FBgn0033830","2-68","50A3-50A3","2R:13375975..13377731(-1)","2R",13375975,13377731
"224","Dmel","CG10948","FBgn0036317","3-39","69E6-69E6","3L:12844254..12850117(-1)","3L",12844254,12850117
"225","Dmel","CG12538","FBgn0038157","3-54","87F1-87F1","3R:13522951..13523535(-1)","3R",13522951,13523535
"226","Dmel","mir-4983","FBgn0263515","2-90","56E1-56E1","2R:19637414..19637521(1)","2R",19637414,19637521
"227","Dmel","MFS3","FBgn0031307","2-2","21F1-21F1","2L:1143201..1147395(1)","2L",1143201,1147395
"228","Dmel","snoRNA:M","FBgn0044508","1-0.2","2B1-2B1","X:1482492..1482590(-1)","X",1482492,1482590
"229","Dmel","CG10934","FBgn0034263","2-84","54E1-54E2","2R:17722339..17723381(1)","2R",17722339,17723381
"230","Dmel","CG12419","FBgn0037769","","85F4-85F4","","",NA,NA
"231","Dmel","CG12540","FBgn0030570","1-48","12E11-12E11","X:14496135..14497240(1)","X",14496135,14497240
"232","Dmel","CG12418","FBgn0040536","","85E14-85E14","","",NA,NA
"233","Dmel","snoRNA:U27:54Eb","FBgn0063387","2-84","54E1-54E1","2R:17702637..17702708(1)","2R",17702637,17702708
"234","Dmel","snoRNA:U49:66Da","FBgn0060292","3-26","66D8-66D8","3L:8601473..8601552(1)","3L",8601473,8601552
"235","Dmel","snRNA:U2:14B","FBgn0003920","1-53","14B6-14B6","X:16254672..16254863(1)","X",16254672,16254863
"236","Dmel","Cec-Psi1","FBgn0000280","3-100","99E2-99E2","3R:30211527..30211753(1)","3R",30211527,30211753
"237","Dmel","5SrRNA:CR33353","FBgn0053353","2-90","56E2-56E2","2R:19766144..19766278(-1)","2R",19766144,19766278
"238","Dmel","CG13197","FBgn0062449","2-65","48C2-48C2","2R:11691285..11697785(1)","2R",11691285,11697785
"239","Dmel","CG30020","FBgn0050020","2-63","47C5-47C5","2R:10886810..10893191(1)","2R",10886810,10893191
"240","Dmel","CG33981","FBgn0250851","2-84","54E9-54E9","2R:17773964..17781930(-1)","2R",17773964,17781930
"241","Dmel","4A1","FBgn0264355","","","","",NA,NA
"242","Dmel","CG32388","FBgn0250849","3-18","65D5-65D5","3L:6983473..6984586(-1)","3L",6983473,6984586
"243","Dmel","Cyp4ac1","FBgn0031693","2-16","25D2-25D2","2L:5264001..5265899(1)","2L",5264001,5265899
"244","Dmel","CG30071","FBgn0050071","","50E4-50E4","","",NA,NA
"245","Dmel","mir-4958","FBgn0263516","1-52","14A8-14A8","X:16080923..16081056(-1)","X",16080923,16081056
"246","Dmel","CG12612","FBgn0030896","","16F7-16F7","","",NA,NA
"247","Dmel","CG12650","FBgn0040932","","8D12-8E1","","",NA,NA
"248","Dmel","mys","FBgn0004657","1-22","7D5-7D5","X:8061645..8070237(1)","X",8061645,8070237
"249","Dmel","CG3071","FBgn0023527","1-0.9","2F2-2F2","X:2262837..2264825(1)","X",2262837,2264825
"250","Dmel","CG15172","FBgn0032740","2-54","37B9-37B9","2L:19022417..19023646(1)","2L",19022417,19023646
"251","Dmel","CG12454","FBgn0040870","","12D4-12D4","","",NA,NA
