"module","size","p-val","Bonf","nInTerm","ont","termName"
"black",2886,9.1e-10,7.7e-06,27,"CC","P granule"
"black",2886,9.1e-10,7.7e-06,27,"MF","aminoacyl-tRNA ligase activity"
"black",2886,1e-09,8.9e-06,50,"CC","RNA polymerase II transcription factor c"
"black",2886,1e-09,8.9e-06,24,"BP","oocyte karyosome formation"
"black",2886,1.1e-09,9.5e-06,84,"BP","axis specification"
"black",2886,1.5e-09,1.3e-05,393,"MF","transferase activity"
"black",2886,1.8e-09,1.5e-05,69,"BP","establishment of protein localization to"
"black",2886,2.5e-09,2.1e-05,16,"MF","snoRNA binding"
"black",2886,2.6e-09,2.2e-05,20,"BP","regulation of transposition"
"black",2886,3e-09,2.6e-05,21,"BP","establishment of chromosome localization"
"black",2886,3.2e-09,2.7e-05,48,"BP","RNA transport"
"black",2886,3.9e-09,3.3e-05,64,"BP","oocyte development"
"black",2886,4.8e-09,4.1e-05,17,"BP","nuclear DNA replication"
"black",2886,5.1e-09,4.3e-05,37,"MF","histone binding"
"black",2886,6e-09,5.1e-05,27,"BP","mitotic sister chromatid separation"
"black",2886,6e-09,5.1e-05,27,"CC","germ plasm"
"black",2886,6e-09,5.1e-05,27,"MF","DNA helicase activity"
"black",2886,7e-09,6e-05,18,"BP","DNA amplification"
"black",2886,7.9e-09,6.7e-05,45,"CC","protein acetyltransferase complex"
"black",2886,8e-09,6.8e-05,25,"BP","regulation of chromosome separation"
"black",2886,8.8e-09,7.5e-05,19,"CC","condensed chromosome, centromeric region"
"black",2886,9e-09,7.6e-05,24,"BP","DNA damage checkpoint"
"black",2886,9e-09,7.6e-05,24,"CC","condensed nuclear chromosome"
"black",2886,9e-09,7.6e-05,24,"MF","DNA-directed 5'-3' RNA polymerase activi"
"black",2886,9.3e-09,7.9e-05,29,"BP","regulation of chromosome segregation"
"black",2886,9.7e-09,8.2e-05,292,"MF","nucleotide binding"
"black",2886,1e-08,8.6e-05,186,"BP","cellular protein localization"
"black",2886,1e-08,8.9e-05,21,"CC","chromosome, telomeric region"
"black",2886,1.3e-08,0.00011,45,"BP","microtubule organizing center organizati"
"black",2886,1.4e-08,0.00012,27,"BP","G2/M transition of mitotic cell cycle"
"black",2886,1.7e-08,0.00015,81,"MF","mRNA binding"
"black",2886,1.7e-08,0.00015,16,"BP","spliceosomal snRNP assembly"
"black",2886,1.9e-08,0.00016,32,"MF","chromatin DNA binding"
"black",2886,2e-08,0.00017,29,"BP","mRNA 3'-end processing"
"black",2886,2.3e-08,2e-04,24,"BP","metaphase/anaphase transition of mitotic"
"black",2886,2.3e-08,2e-04,24,"BP","regulation of G2/M transition of mitotic"
"black",2886,2.3e-08,2e-04,24,"BP","regulation of mitotic sister chromatid s"
"black",2886,2.5e-08,0.00021,17,"BP","eggshell chorion gene amplification"
"black",2886,2.5e-08,0.00021,17,"CC","U4/U6 x U5 tri-snRNP complex"
"black",2886,2.5e-08,0.00021,182,"MF","pyrophosphatase activity"
"black",2886,3e-08,0.00025,22,"BP","RNA polyadenylation"
"black",2886,3e-08,0.00025,18,"BP","negative regulation of transposition"
"black",2886,3e-08,0.00025,37,"BP","pole plasm assembly"
"black",2886,3.1e-08,0.00026,184,"MF","hydrolase activity, acting on acid anhyd"
"black",2886,3.3e-08,0.00028,20,"CC","U2-type spliceosomal complex"
"black",2886,3.7e-08,0.00031,14,"BP","female meiosis chromosome segregation"
"black",2886,3.7e-08,0.00031,14,"CC","U5 snRNP"
"black",2886,3.9e-08,0.00033,46,"MF","S-adenosylmethionine-dependent methyltra"
"black",2886,5.1e-08,0.00043,648,"BP","protein metabolic process"
"black",2886,5.5e-08,0.00047,129,"BP","epithelial cell development"
"black",2886,6.3e-08,0.00054,15,"BP","DNA replication checkpoint"
"black",2886,6.6e-08,0.00056,56,"BP","oocyte axis specification"
"black",2886,6.7e-08,0.00057,174,"MF","nucleoside-triphosphatase activity"
"black",2886,6.8e-08,0.00057,51,"BP","asymmetric cell division"
"black",2886,7.4e-08,0.00062,52,"BP","mitochondrial translation"
"black",2886,8.5e-08,0.00072,54,"BP","chromatin silencing"
"black",2886,8.5e-08,0.00072,16,"CC","small nucleolar ribonucleoprotein comple"
"black",2886,8.9e-08,0.00075,21,"BP","regulation of mitotic metaphase/anaphase"
"black",2886,8.9e-08,0.00076,338,"BP","regulation of transcription, DNA-templat"
"black",2886,9.8e-08,0.00083,43,"BP","oocyte anterior/posterior axis specifica"
"black",2886,1e-07,0.00089,18,"BP","metaphase plate congression"
"black",2886,1e-07,0.00089,18,"CC","nucleosome"
"black",2886,1e-07,0.00089,18,"MF","endoribonuclease activity, producing 5'-"
"black",2886,1.1e-07,0.00095,44,"BP","maternal determination of anterior/poste"
"black",2886,1.1e-07,0.00097,41,"BP","centrosome cycle"
"black",2886,1.3e-07,0.0011,24,"BP","fertilization"
"black",2886,1.3e-07,0.0011,226,"BP","protein localization"
"black",2886,1.4e-07,0.0012,27,"BP","ATP-dependent chromatin remodeling"
"black",2886,1.5e-07,0.0013,37,"MF","ribonuclease activity"
"black",2886,1.7e-07,0.0014,31,"BP","pole plasm RNA localization"
"black",2886,1.9e-07,0.0016,22,"BP","telomere maintenance"
"black",2886,1.9e-07,0.0016,56,"BP","oocyte construction"
"black",2886,2.1e-07,0.0017,115,"CC","microtubule cytoskeleton"
"black",2886,2.1e-07,0.0018,11,"BP","mitotic DNA replication checkpoint"
"black",2886,2.3e-07,0.0019,21,"BP","maturation of SSU-rRNA from tricistronic"
"black",2886,2.3e-07,0.002,47,"BP","germarium-derived egg chamber formation"
"black",2886,2.4e-07,0.002,120,"MF","ATPase activity"
"black",2886,2.6e-07,0.0022,20,"BP","mRNA polyadenylation"
"black",2886,2.6e-07,0.0022,20,"MF","ATP-dependent DNA helicase activity"
"black",2886,2.9e-07,0.0025,15,"BP","DNA strand elongation involved in DNA re"
"black",2886,3e-07,0.0025,19,"CC","U2 snRNP"
"black",2886,3.3e-07,0.0028,16,"CC","preribosome, large subunit precursor"
"black",2886,3.3e-07,0.0028,16,"MF","cyclin-dependent protein serine/threonin"
"black",2886,3.3e-07,0.0028,17,"BP","regulation of meiotic cell cycle"
"black",2886,3.6e-07,0.003,23,"BP","regulation of DNA replication"
"black",2886,3.9e-07,0.0033,40,"BP","gene silencing by RNA"
"black",2886,4e-07,0.0034,28,"BP","positive regulation of cell cycle proces"
"black",2886,4e-07,0.0034,28,"CC","protein kinase complex"
"black",2886,4.1e-07,0.0035,30,"BP","pole plasm mRNA localization"
"black",2886,4.1e-07,0.0035,30,"CC","heterochromatin"
"black",2886,4.4e-07,0.0037,22,"BP","single fertilization"
"black",2886,4.4e-07,0.0037,22,"CC","spindle microtubule"
"black",2886,4.5e-07,0.0038,80,"CC","polytene chromosome"
"black",2886,5.2e-07,0.0045,12,"BP","vitelline membrane formation involved in"
"black",2886,5.9e-07,0.005,24,"CC","serine/threonine protein kinase complex"
"black",2886,6e-07,0.0051,180,"BP","peptide metabolic process"
"black",2886,7.3e-07,0.0062,28,"MF","histone acetyltransferase activity"
"black",2886,7.3e-07,0.0062,35,"BP","posttranscriptional gene silencing"
"black",2886,7.4e-07,0.0063,57,"BP","anterior/posterior axis specification"
"black",2886,7.9e-07,0.0067,125,"BP","intracellular protein transport"
"black",2886,8.1e-07,0.0068,13,"BP","rRNA methylation"
"black",2886,8.3e-07,0.007,33,"BP","intracellular mRNA localization involved"
"black",2886,8.6e-07,0.0073,10,"BP","mitotic DNA replication"
"black",2886,8.8e-07,0.0075,18,"CC","spindle midzone"
"black",2886,9e-07,0.0076,81,"BP","protein modification by small protein co"
"black",2886,9e-07,0.0076,25,"BP","mitotic cell cycle, embryonic"
"black",2886,9.9e-07,0.0084,17,"CC","chromocenter"
"black",2886,9.9e-07,0.0084,14,"BP","maturation of 5.8S rRNA"
"black",2886,9.9e-07,0.0084,14,"BP","piRNA metabolic process"
"black",2886,9.9e-07,0.0084,14,"BP","mitotic G2/M transition checkpoint"
"black",2886,9.9e-07,0.0084,14,"MF","snRNA binding"
"black",2886,9.9e-07,0.0084,34,"BP","intracellular mRNA localization involved"
"black",2886,1.1e-06,0.009,16,"BP","negative regulation of G2/M transition o"
"black",2886,1.2e-06,0.01,24,"BP","positive regulation of mitotic cell cycl"
"black",2886,1.3e-06,0.011,36,"MF","N-acetyltransferase activity"
"black",2886,1.6e-06,0.014,34,"BP","asymmetric stem cell division"
"black",2886,1.7e-06,0.014,29,"BP","ribosomal large subunit biogenesis"
"black",2886,1.8e-06,0.016,19,"BP","sister chromatid cohesion"
"black",2886,2e-06,0.017,11,"CC","mRNA cleavage and polyadenylation specif"
"black",2886,2.1e-06,0.017,40,"MF","acetyltransferase activity"
"black",2886,2.2e-06,0.019,48,"BP","stem cell division"
"black",2886,2.2e-06,0.019,18,"BP","mitotic spindle assembly"
"black",2886,2.3e-06,0.019,28,"BP","heterochromatin organization"
"black",2886,2.3e-06,0.02,37,"MF","N-acyltransferase activity"
"black",2886,2.4e-06,0.021,53,"BP","embryonic axis specification"
"black",2886,2.6e-06,0.022,17,"MF","damaged DNA binding"
"black",2886,2.8e-06,0.024,12,"BP","regulation of mitotic cell cycle, embryo"
"black",2886,2.8e-06,0.024,12,"BP","RNA surveillance"
"black",2886,2.8e-06,0.024,12,"CC","condensed chromosome kinetochore"
"black",2886,2.8e-06,0.024,12,"CC","integrator complex"
"black",2886,3e-06,0.025,16,"BP","mitotic chromosome condensation"
"black",2886,3e-06,0.026,27,"BP","pole plasm oskar mRNA localization"
"black",2886,3.2e-06,0.027,20,"BP","nuclear-transcribed mRNA catabolic proce"
"black",2886,3.3e-06,0.028,52,"BP","anterior/posterior axis specification, e"
"black",2886,3.3e-06,0.028,13,"BP","negative regulation of mitotic metaphase"
"black",2886,3.3e-06,0.028,13,"CC","mRNA cleavage factor complex"
"black",2886,3.3e-06,0.028,13,"MF","DNA-directed DNA polymerase activity"
"black",2886,3.4e-06,0.029,30,"MF","exonuclease activity"
"black",2886,3.4e-06,0.029,14,"BP","transcription by RNA polymerase I"
"black",2886,3.5e-06,0.029,9,"CC","MCM complex"
"black",2886,3.5e-06,0.029,9,"CC","chaperone complex"
"black",2886,3.5e-06,0.03,37,"CC","histone acetyltransferase complex"
"black",2886,3.6e-06,0.031,125,"BP","cell proliferation"
"black",2886,3.7e-06,0.031,193,"BP","cytoskeleton organization"
"black",2886,3.9e-06,0.033,22,"CC","nuclear periphery"
"black",2886,4.3e-06,0.037,49,"BP","regulation of chromatin organization"
"black",2886,4.7e-06,0.04,32,"BP","posttranscriptional gene silencing by RN"
"black",2886,5.2e-06,0.044,27,"MF","endoribonuclease activity"
"black",2886,5.8e-06,0.049,57,"BP","regulation of translation"
"black",2886,6.2e-06,0.053,17,"CC","transcription factor TFIID complex"
"black",2886,6.5e-06,0.055,145,"MF","transferase activity, transferring phosp"
"black",2886,6.6e-06,0.056,20,"CC","mitotic spindle"
"black",2886,7.1e-06,0.06,36,"BP","dorsal/ventral axis specification"
"black",2886,7.3e-06,0.062,10,"BP","double-strand break repair via break-ind"
"black",2886,7.3e-06,0.062,10,"BP","histone mRNA metabolic process"
"black",2886,7.3e-06,0.062,10,"BP","rRNA catabolic process"
"black",2886,7.3e-06,0.062,10,"CC","nuclear exosome (RNase complex)"
"black",2886,7.3e-06,0.062,10,"CC","transcription factor TFIIH holo complex"
"black",2886,7.4e-06,0.062,22,"MF","3'-5' exonuclease activity"
"black",2886,8.8e-06,0.075,15,"MF","3'-5' DNA helicase activity"
"black",2886,9e-06,0.076,101,"MF","ATPase activity, coupled"
"black",2886,9.9e-06,0.084,11,"BP","spindle assembly involved in female meio"
"black",2886,9.9e-06,0.084,11,"BP","nuclear RNA surveillance"
"black",2886,9.9e-06,0.084,11,"CC","kinetochore microtubule"
"black",2886,1e-05,0.085,14,"BP","tRNA methylation"
"black",2886,1e-05,0.085,14,"BP","negative regulation of sister chromatid "
"black",2886,1.1e-05,0.091,47,"BP","cytoskeleton-dependent cytokinesis"
"black",2886,1.1e-05,0.092,13,"BP","mitotic metaphase plate congression"
"black",2886,1.1e-05,0.093,18,"BP","histone exchange"
"black",2886,1.1e-05,0.093,12,"BP","mitotic spindle assembly checkpoint"
"black",2886,1.1e-05,0.093,12,"BP","anaphase-promoting complex-dependent cat"
"black",2886,1.1e-05,0.093,12,"BP","N-terminal protein amino acid modificati"
"black",2886,1.1e-05,0.093,12,"BP","negative regulation of DNA recombination"
"black",2886,1.1e-05,0.093,12,"CC","nuclear chromosome, telomeric region"
"black",2886,1.1e-05,0.093,12,"CC","carboxy-terminal domain protein kinase c"
"black",2886,1.3e-05,0.11,22,"BP","meiotic spindle organization"
"black",2886,1.4e-05,0.12,8,"BP","promoter clearance from RNA polymerase I"
"black",2886,1.4e-05,0.12,8,"BP","transcriptional open complex formation a"
"black",2886,1.4e-05,0.12,8,"BP","female meiosis I"
"black",2886,1.4e-05,0.12,8,"CC","chaperonin-containing T-complex"
"black",2886,1.7e-05,0.15,16,"BP","DNA endoreduplication"
"black",2886,1.7e-05,0.15,16,"CC","SAGA complex"
"black",2886,1.7e-05,0.15,16,"CC","SAGA-type complex"
"black",2886,2.4e-05,0.2,22,"BP","centrosome duplication"
"black",2886,2.4e-05,0.2,22,"MF","deoxyribonuclease activity"
"black",2886,2.4e-05,0.21,987,"CC","cytoplasm"
"black",2886,2.5e-05,0.21,41,"CC","cullin-RING ubiquitin ligase complex"
"black",2886,2.6e-05,0.22,14,"BP","regulation of cyclin-dependent protein s"
"black",2886,2.6e-05,0.22,14,"MF","nucleosome binding"
"black",2886,2.6e-05,0.22,310,"MF","anion binding"
"black",2886,2.7e-05,0.23,9,"BP","nuclear mRNA surveillance"
"black",2886,2.7e-05,0.23,9,"CC","condensed chromosome outer kinetochore"
"black",2886,2.7e-05,0.23,9,"CC","site of double-strand break"
"black",2886,2.8e-05,0.24,29,"MF","kinase regulator activity"
"black",2886,3e-05,0.25,35,"BP","male meiotic nuclear division"
"black",2886,3.2e-05,0.27,19,"MF","RNA polymerase II transcription factor b"
