"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"darkgreen",199,183,10,3.66609782303313e-13,3.11068400284361e-09,40,0.218579234972678,0.0650406504065041,615,"GO:0048666","BP","neuron development","The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."
"darkgrey",309,259,1,2.94708994094731e-10,2.50060581489379e-06,22,0.0849420849420849,0.127906976744186,172,"GO:0017016","MF","Ras GTPase binding","Interacting selectively and non-covalently with any member of the Ras superfamily of monomeric GTPases."
"darkgrey",309,259,2,4.1335332177104e-10,3.50730293522728e-06,22,0.0849420849420849,0.125714285714286,175,"GO:0031267","MF","small GTPase binding","Interacting selectively and non-covalently with a small monomeric GTPase."
"darkgrey",309,259,3,7.23135944759467e-10,6.13580849128408e-06,23,0.0888030888030888,0.116751269035533,197,"GO:0051020","MF","GTPase binding","Interacting selectively and non-covalently with a GTPase, any enzyme that catalyzes the hydrolysis of GTP."
"darkgrey",309,259,4,6.4045260176953e-07,0.00543424032601446,12,0.0463320463320463,0.15,80,"GO:0046578","BP","regulation of Ras protein signal transduction","Any process that modulates the frequency, rate or extent of Ras protein signal transduction."
"darkgrey",309,259,5,6.67065120971093e-07,0.00566004755143973,16,0.0617760617760618,0.110344827586207,145,"GO:0007265","BP","Ras protein signal transduction","A series of molecular signals within the cell that are mediated by a member of the Ras superfamily of proteins switching to a GTP-bound active state."
"darkgrey",309,259,6,1.82695424295373e-06,0.0155017067514624,12,0.0463320463320463,0.136363636363636,88,"GO:0051056","BP","regulation of small GTPase mediated signal transduction","Any process that modulates the frequency, rate or extent of small GTPase mediated signal transduction."
"darkgrey",309,259,7,3.46199309388559e-06,0.0293750114016192,16,0.0617760617760618,0.0975609756097561,164,"GO:0007264","BP","small GTPase mediated signal transduction","Any series of molecular signals in which a small monomeric GTPase relays one or more of the signals."
"darkgrey",309,259,8,5.68878202974811e-06,0.0482693155224127,38,0.146718146718147,0.0539007092198582,705,"GO:0009966","BP","regulation of signal transduction","Any process that modulates the frequency, rate or extent of signal transduction."
"darkgrey",309,259,9,1.44953909645405e-05,0.122993392334126,11,0.0424710424710425,0.122222222222222,90,"GO:0017137","MF","Rab GTPase binding","Interacting selectively and non-covalently with Rab protein, any member of the Rab subfamily of the Ras superfamily of monomeric GTPases."
"darkgrey",309,259,10,1.6596938175526e-05,0.140825020419338,9,0.0347490347490347,0.15,60,"GO:0005088","MF","Ras guanyl-nucleotide exchange factor activity","Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Ras superfamily. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase."
"darkred",84,75,1,1.28910812862889e-42,1.09380824714161e-38,30,0.4,0.303030303030303,99,"GO:0022626","CC","cytosolic ribosome","A ribosome located in the cytosol."
"darkred",84,75,2,1.57922841833313e-37,1.33997531295566e-33,29,0.386666666666667,0.235772357723577,123,"GO:0002181","BP","cytoplasmic translation","The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein."
"darkred",84,75,3,1.1844595177343e-33,1.00501390079756e-29,30,0.4,0.16304347826087,184,"GO:0005840","CC","ribosome","An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."
"darkred",84,75,4,2.53476141985573e-33,2.15074506474758e-29,29,0.386666666666667,0.173652694610778,167,"GO:0003735","MF","structural constituent of ribosome","The action of a molecule that contributes to the structural integrity of the ribosome."
"darkred",84,75,5,4.17936778996282e-26,3.54619356978345e-22,18,0.24,0.327272727272727,55,"GO:0022625","CC","cytosolic large ribosomal subunit","The large subunit of a ribosome located in the cytosol."
"darkred",84,75,6,7.89781952314456e-26,6.70129986538816e-22,32,0.426666666666667,0.0796019900497512,402,"GO:0006412","BP","translation","The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"darkred",84,75,7,7.15299098372117e-23,6.06931284968741e-19,30,0.4,0.072289156626506,415,"GO:0005198","MF","structural molecule activity","The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell."
"darkred",84,75,8,4.11728549212198e-22,3.4935167400655e-18,32,0.426666666666667,0.0604914933837429,529,"GO:0006518","BP","peptide metabolic process","The chemical reactions and pathways involving peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another."
"darkred",84,75,9,6.9648505580785e-22,5.90967569852961e-18,34,0.453333333333333,0.0534591194968553,636,"GO:0005829","CC","cytosol","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"darkred",84,75,10,8.1954613341236e-22,6.95384894200388e-18,32,0.426666666666667,0.0591497227356747,541,"GO:1990904","CC","ribonucleoprotein complex","A macromolecular complex containing both protein and RNA molecules."
"darkturquoise",79,74,1,1.32924075245086e-05,0.112786077845456,4,0.0540540540540541,0.19047619047619,21,"GO:0015179","MF","L-amino acid transmembrane transporter activity","Enables the transfer of an L-amino acid from one side of a membrane to the other. L-amino acids are the L-enantiomers of amino acids."
"darkturquoise",79,74,2,1.93166363355083e-05,0.163901659306788,3,0.0405405405405405,0.375,8,"GO:0070628","MF","proteasome binding","Interacting selectively and non-covalently with a proteasome, a large multisubunit protein complex that catalyzes protein degradation."
"darkturquoise",79,74,3,0.000151376143085526,1,3,0.0405405405405405,0.2,15,"GO:0015807","BP","L-amino acid transport","The directed movement of L-enantiomer amino acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"darkturquoise",79,74,4,0.000223911042567347,1,3,0.0405405405405405,0.176470588235294,17,"GO:0043248","BP","proteasome assembly","The aggregation, arrangement and bonding together of a mature, active proteasome complex."
"darkturquoise",79,74,5,0.000344082302161543,1,4,0.0540540540540541,0.0851063829787234,47,"GO:0006865","BP","amino acid transport","The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"darkturquoise",79,74,6,0.000546861133352099,1,4,0.0540540540540541,0.0754716981132075,53,"GO:0015171","MF","amino acid transmembrane transporter activity","Enables the transfer of amino acids from one side of a membrane to the other. Amino acids are organic molecules that contain an amino group and a carboxyl group."
"darkturquoise",79,74,7,0.00289061775056059,1,3,0.0405405405405405,0.075,40,"GO:0003333","BP","amino acid transmembrane transport","The process in which an amino acid is transported across a membrane."
"darkturquoise",79,74,8,0.00319578330963322,1,2,0.027027027027027,0.166666666666667,12,"GO:0004653","MF","polypeptide N-acetylgalactosaminyltransferase activity","Catalysis of the reaction: UDP-N-acetyl-D-galactosamine + polypeptide = UDP + N-acetyl-D-galactosaminyl-polypeptide. This reaction is the modification of serine or threonine residues in polypeptide chains by the transfer of a N-acetylgalactose from UDP-N-acetylgalactose to the hydroxyl group of the amino acid; it is the first step in O-glycan biosynthesis."
"darkturquoise",79,74,9,0.0037561725571083,1,4,0.0540540540540541,0.0449438202247191,89,"GO:0008238","MF","exopeptidase activity","Catalysis of the hydrolysis of a peptide bond not more than three residues from the N- or C-terminus of a polypeptide chain, in a reaction that requires a free N-terminal amino group, C-terminal carboxyl group or both."
"darkturquoise",79,74,10,0.00529517889827343,1,4,0.0540540540540541,0.0408163265306122,98,"GO:0008514","MF","organic anion transmembrane transporter activity","Enables the transfer of organic anions from one side of a membrane to the other. Organic anions are atoms or small molecules with a negative charge which contain carbon in covalent linkage."
"greenyellow",165,153,1,3.25182631728621e-51,2.75917463021735e-47,33,0.215686274509804,0.702127659574468,47,"GO:0000502","CC","proteasome complex","A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core."
"greenyellow",165,153,2,1.90386299142231e-28,1.61542774822183e-24,35,0.228758169934641,0.177664974619289,197,"GO:0043161","BP","proteasome-mediated ubiquitin-dependent protein catabolic process","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."
"greenyellow",165,153,3,1.34769628190058e-27,1.14352029519265e-23,35,0.228758169934641,0.168269230769231,208,"GO:0010498","BP","proteasomal protein catabolic process","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."
"greenyellow",165,153,4,2.88600188103664e-27,2.44877259605959e-23,15,0.0980392156862745,0.9375,16,"GO:0005839","CC","proteasome core complex","A multisubunit barrel shaped endoprotease complex, which is the core of the proteasome complex."
"greenyellow",165,153,5,2.42230265082784e-26,2.05532379922742e-22,15,0.0980392156862745,0.882352941176471,17,"GO:0004298","MF","threonine-type endopeptidase activity","Catalysis of the hydrolysis of internal peptide bonds in a polypeptide chain by a mechanism in which the hydroxyl group of a threonine residue at the active center acts as a nucleophile."
"greenyellow",165,153,6,1.09425117475185e-25,9.28472121776941e-22,37,0.241830065359477,0.135531135531136,273,"GO:0006511","BP","ubiquitin-dependent protein catabolic process","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."
"greenyellow",165,153,7,1.86236317886505e-25,1.580215157267e-21,37,0.241830065359477,0.133574007220217,277,"GO:0019941","BP","modification-dependent protein catabolic process","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."
"greenyellow",165,153,8,1.58458889223426e-24,1.34452367506077e-20,14,0.0915032679738562,0.875,16,"GO:0010499","BP","proteasomal ubiquitin-independent protein catabolic process","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome but do not involve ubiquitin."
"greenyellow",165,153,9,4.46198369060281e-24,3.78599316147648e-20,16,0.104575163398693,0.64,25,"GO:0005838","CC","proteasome regulatory particle","A multisubunit complex, which caps one or both ends of the proteasome core complex. This complex recognizes and unfolds ubiquitinated proteins, and translocates them to the proteasome core complex."
"greenyellow",165,153,10,5.41458120138519e-24,4.59427214937533e-20,37,0.241830065359477,0.121710526315789,304,"GO:0051603","BP","proteolysis involved in cellular protein catabolic process","The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
"grey",45,18,1,0.00174418604651116,1,1,0.0555555555555556,1,1,"GO:0004018","MF","N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","Catalysis of the reaction: N6-(1,2-dicarboxyethyl)AMP = fumarate + AMP."
"grey",45,18,2,0.00174418604651116,1,1,0.0555555555555556,1,1,"GO:0070626","MF","(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity","Catalysis of the reaction: (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate = fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide."
"grey",45,18,3,0.00348549863989822,1,1,0.0555555555555556,0.5,2,"GO:0044208","BP","'de novo' AMP biosynthetic process","The chemical reactions and pathways resulting in the formation of adenosine monophosphate (AMP) from inosine 5'-monophosphate (IMP)."
"grey",45,18,4,0.00348549863989822,1,1,0.0555555555555556,0.5,2,"GO:0036313","MF","phosphatidylinositol 3-kinase catalytic subunit binding","Interacting selectively and non-covalently with the catalytic subunit of a phosphatidylinositol 3-kinase. The catalytic subunit catalyzes the addition of a phosphate group to an inositol lipid at the 3' position of the inositol ring."
"grey",45,18,5,0.00522394223599065,1,1,0.0555555555555556,0.333333333333333,3,"GO:1901098","BP","positive regulation of autophagosome maturation",NA
"grey",45,18,6,0.00522394223599065,1,1,0.0555555555555556,0.333333333333333,3,"GO:1903108","BP","regulation of mitochondrial transcription",NA
"grey",45,18,7,0.00522394223599065,1,1,0.0555555555555556,0.333333333333333,3,"GO:0004045","MF","aminoacyl-tRNA hydrolase activity","Catalysis of the reaction: N-substituted aminoacyl-tRNA + H2O = N-substituted amino acid + tRNA."
"grey",45,18,8,0.00695952128414001,1,1,0.0555555555555556,0.25,4,"GO:0031119","BP","tRNA pseudouridine synthesis","The intramolecular conversion of uridine to pseudouridine in a tRNA molecule."
"grey",45,18,9,0.00695952128414001,1,1,0.0555555555555556,0.25,4,"GO:0061668","BP","mitochondrial ribosome assembly","The aggregation, arrangement and bonding together of the mitochondrial ribosome and of its subunits."
"grey",45,18,10,0.00695952128414001,1,1,0.0555555555555556,0.25,4,"GO:1901096","BP","regulation of autophagosome maturation",NA
"lightcyan",117,107,1,1.94864479023862e-12,1.65342510451747e-08,62,0.579439252336449,0.0231775700934579,2675,"GO:0016043","BP","cellular component organization","A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."
"lightcyan",117,107,2,2.2517509741784e-11,1.91061070159038e-07,22,0.205607476635514,0.0591397849462366,372,"GO:0006325","BP","chromatin organization","Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin."
"lightcyan",117,107,3,2.76360094898201e-11,2.34491540521124e-07,27,0.252336448598131,0.0460750853242321,586,"GO:0051276","BP","chromosome organization","A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."
"lightcyan",117,107,4,9.80093794548075e-11,8.31609584674042e-07,46,0.429906542056075,0.0268065268065268,1716,"GO:0006996","BP","organelle organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
