"","FBgn","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","spp","gname","v3","cyt","pos","chr","startp","stopp","effect"
"1125","FBgn0033246",18479.3289876912,-0.382916248926573,0.10099510195745,14.1650061038615,0.000839668781243053,0.00863063279673427,21038,"Dmel","ACC","2-58","44A1-44A2","2R:7974115..7991862(-1)","2R",7974115,7991862,"treat"
"1183","FBgn0033375",320.451228318393,0.0910078610125521,0.0643382780133148,13.8596254209485,0.000978184054868122,0.00957034129357459,27377,"Dmel","CG8078","2-60","45A3-45A3","2R:9096931..9098525(-1)","2R",9096931,9098525,"treat"
"1188","FBgn0028562",71.6026904592003,0.179144002262589,0.165038088258903,13.837862088497,0.000988886451608862,0.00963436556386632,27111,"Dmel","sut2","2-58","44A4-44A4","2R:8087396..8089297(1)","2R",8087396,8089297,"treat"
"1200","FBgn0086784",2323.89048535068,0.145724088310985,0.0394037690697572,13.7705355245862,0.00102274226687501,0.00986465147333896,27461,"Dmel","stmA","2-59","44E3-44E3","2R:8729502..8734304(-1)","2R",8729502,8734304,"treat"
"1263","FBgn0033258",260.929985695597,-0.0325972560494893,0.0889266560054282,13.4051155636906,0.00122776752159034,0.011243050569251,27398,"Dmel","CG8712","2-58","44A4-44A4","2R:8096792..8098484(-1)","2R",8096792,8098484,"treat"
"1271","FBgn0002891",335.876000478773,-0.157618949775031,0.0893385962874034,13.3848278603367,0.0012402851945958,0.0113016757373363,61,"Dmel","mus205","2-57","43E17-43E17","2R:7793625..7801044(1)","2R",7793625,7801044,"treat"
"1520","FBgn0010220",540.526990699727,0.124607753763467,0.0360474138240672,12.2364869970987,0.00220232094756252,0.0167619486574009,27353,"Dmel","Dbp45A","2-60","45A2-45A2","2R:9087834..9089802(1)","2R",9087834,9089802,"treat"
"1561","FBgn0033381",471.416746513243,-0.100968369919613,0.0796121588706604,12.042587665961,0.00242652804113206,0.0179839416688892,3633,"Dmel","GstE13","2-60","45A9-45A9","2R:9122125..9123309(1)","2R",9122125,9123309,"treat"
"1593","FBgn0265313",966.43651470525,0.429856371966817,0.188946333906295,11.8986938085771,0.00260754293753653,0.018937791466096,27402,"Dmel","CG44286","2-60","45A11-45A12","2R:9138486..9141981(1)","2R",9138486,9141981,"treat"
"1742","FBgn0003892",164.606205220661,0.422204098252074,0.125379511569376,11.2465462287287,0.00361279663881355,0.0239831726441353,27481,"Dmel","ptc","2-59","44D5-44E1","2R:8649649..8665223(1)","2R",8649649,8665223,"treat"
"1774","FBgn0005695",2007.17889702627,-0.160672140445931,0.078832870416069,11.0863165356479,0.00391414537720908,0.0255100243617516,27459,"Dmel","gcl","2-59","44E3-44E3","2R:8724258..8728999(1)","2R",8724258,8728999,"treat"
"1978","FBgn0025469",341.803173047147,0.043109740551679,0.0521998331716153,10.5024906590792,0.00524098757686636,0.0306469460325189,27337,"Dmel","slv","2-58","44A4-44A4","2R:8080559..8083357(-1)","2R",8080559,8083357,"treat"
"2101","FBgn0085459",11.4216457195559,-0.0154474385718797,0.311784610848025,10.1352598521996,0.00629732759971825,0.034671218115559,17495,"Dmel","CG34430","2-57","43F5-43F5","2R:7943442..7944475(1)","2R",7943442,7944475,"treat"
"2239","FBgn0010504",778.030400904635,-0.0579989265952832,0.0839423432450433,9.67385734412983,0.00793137653963521,0.0409888649762446,27390,"Dmel","kermit","2-58","44B5-44B5","2R:8146918..8156654(-1)","2R",8146918,8156654,"treat"
"2250","FBgn0033294",452.018646430215,-1.93785593037849,0.624087362254292,9.64411566832962,0.00805020409735146,0.0414042594259986,27328,"Dmel","Mal-A4","2-59","44D1-44D1","2R:8458815..8460884(1)","2R",8458815,8460884,"treat"
"2326","FBgn0026326",785.070763081264,-0.0607239239781675,0.0546431066144781,9.41490439793768,0.009027749215195,0.044902295795972,5274,"Dmel","Mad1","2-60","45C4-45C4","2R:9288957..9291565(-1)","2R",9288957,9291565,"treat"
"2342","FBgn0027585",1404.43028499559,0.320606708159454,0.105420393506592,9.3821472286146,0.00917682849116266,0.0452621902720559,27460,"Dmel","CG8740","2-59","44E3-44E4","2R:8735810..8759590(1)","2R",8735810,8759590,"treat"
"2366","FBgn0033265",261.585997644502,-0.00199333100977466,0.0597513461616904,9.33606840398261,0.00939071163657142,0.0458995795772335,4051,"Dmel","coil","2-58","44B3-44B3","2R:8124981..8127242(-1)","2R",8124981,8127242,"treat"
"2371","FBgn0033247",868.488774221986,-0.248531759027875,0.0811672779817361,9.32501209701093,0.00944276868895347,0.0459826453326183,21016,"Dmel","Nup44A","2-58","44A2-44A2","2R:7988462..7991283(1)","2R",7988462,7991283,"treat"
"2383","FBgn0033229",803.407293343198,0.139390601661038,0.0627568910630496,9.30865928473929,0.00952029310445575,0.0462209033202076,17588,"Dmel","CG12822","2-57","43E18-43E18","2R:7832171..7833841(1)","2R",7832171,7833841,"treat"
"2448","FBgn0033358",514.315124572336,0.280539275870292,0.100112399680255,9.12933535395825,0.0104133392241539,0.0492049247603671,19153,"Dmel","spab","2-59","44F12-44F12","2R:8963164..8968184(-1)","2R",8963164,8968184,"treat"
