"","FBgn","baseMean","log2FC","lfcSE","stat","pvalue","padj","X","spp","gname","v3","cyt","pos","chr","startp","stopp","QTL"
"182","FBgn0033250",5540.52392677032,1.54190551063287,0.328349530103609,35.9557143154258,2.9550376149673e-07,1.97175696682214e-05,27340,"Dmel","CG14762","2-58","44A2-44A2","2R:8009119..8013755(-1)","2R",8009119,8013755,"LinDiscrA"
"250","FBgn0033101",2597.78493913947,0.117124452386599,0.113352188278448,30.8158810164572,3.33787856403715e-06,0.00016149480988712,20662,"Dmel","CG9436","2-55","42C8-42C8","2R:6757601..6758903(-1)","2R",6757601,6758903,"LinDiscrA"
"340","FBgn0265137",2185.99052954245,0.261283961183538,0.12731715294006,26.1555981347396,2.94387111157828e-05,0.00104839797005885,4588,"Dmel","Spn42Da","2-55","42D6-42D6","2R:6875906..6878927(-1)","2R",6875906,6878927,"LinDiscrA"
"355","FBgn0033247",868.488774221986,0.157312117454966,0.162033424381691,25.5539590465214,3.8920849482961e-05,0.00132396301434476,21016,"Dmel","Nup44A","2-58","44A2-44A2","2R:7988462..7991283(1)","2R",7988462,7991283,"LinDiscrA"
"360","FBgn0028988",1489.15465458217,1.00328043801329,0.303610094557877,25.2582992019045,4.46373882341111e-05,0.00149744873678189,4334,"Dmel","Spn42Dd","2-55","42D6-42D6","2R:6883280..6884873(1)","2R",6883280,6884873,"LinDiscrA"
"396","FBgn0083977",100.961442492127,-0.653940247431501,0.215338570698365,24.0489692245555,7.80896060957878e-05,0.00237964144591662,19522,"Dmel","CG34141","2-60","45C1-45C1","2R:9260278..9263971(-1)","2R",9260278,9263971,"LinDiscrA"
"426","FBgn0015037",817.806804143477,2.40369360276147,0.577872186701146,23.2312303384913,0.000113844187196859,0.00323019581616508,21240,"Dmel","Cyp4p1","2-60","45B7-45B7","2R:9240041..9242139(1)","2R",9240041,9242139,"LinDiscrA"
"453","FBgn0033204",294.457417650322,0.969139753666488,0.337052493539219,22.2727140558791,0.000176860129356263,0.0047204162876977,20498,"Dmel","CG2065","2-57","43E8-43E9","2R:7663786..7665269(1)","2R",7663786,7665269,"LinDiscrA"
"464","FBgn0033304",711.123175966277,0.490147669071262,0.172972250825502,21.9590631047929,0.00020421604856342,0.00532188775483727,4724,"Dmel","Cyp6a13","2-59","44D3-44D3","2R:8570499..8572147(1)","2R",8570499,8572147,"LinDiscrA"
"489","FBgn0044011",218.93080975997,0.984192328766665,0.45672911808865,21.331595886328,0.000272155589461695,0.00673127796012795,26505,"Dmel","Spn43Ad","2-55","42F3-42F3","2R:7153738..7155424(-1)","2R",7153738,7155424,"LinDiscrA"
"504","FBgn0015038",376.61468802215,2.52593609680798,0.881282269661484,20.8834761118417,0.000333966405111817,0.00801519372268361,25055,"Dmel","Cyp9b1","2-55","42F2-42F2","2R:7127838..7129808(-1)","2R",7127838,7129808,"LinDiscrA"
"527","FBgn0033246",18479.3289876912,0.294832682518061,0.210723582913932,20.5061444024345,0.000396660016697698,0.0090887532882582,21038,"Dmel","ACC","2-58","44A1-44A2","2R:7974115..7991862(-1)","2R",7974115,7991862,"LinDiscrA"
"534","FBgn0033378",858.90321018488,0.0990041007289567,0.0879126036592396,20.2662711914793,0.000442438208336515,0.00998693234579672,27376,"Dmel","tsu","2-60","45A7-45A7","2R:9110799..9111578(1)","2R",9110799,9111578,"LinDiscrA"
"543","FBgn0033079",2608.40129134503,0.39710826066365,0.261568276063994,20.055357055788,0.0004869884334923,0.0108314790042683,21068,"Dmel","Fmo-2","2-55","42C2-42C2","2R:6642418..6645098(-1)","2R",6642418,6645098,"LinDiscrA"
"560","FBgn0263934",166.450654815611,1.3722946700245,0.397576313450525,19.7675862625552,0.000555013390645995,0.0119573760580209,25981,"Dmel","esn","2-55","42F1-42F2","2R:7086316..7127868(1)","2R",7086316,7127868,"LinDiscrA"
"633","FBgn0085244",269.107137859004,2.39670688895614,1.0448776182225,18.8121692834283,0.000855611666879118,0.0163548772327798,20615,"Dmel","CG34215","2-55","42D4-42D4","2R:6831296..6831793(-1)","2R",6831296,6831793,"LinDiscrA"
"684","FBgn0033232",614.935929442721,0.100049330517696,0.0847644109710134,18.159685990846,0.00114849222133133,0.020301731493228,21177,"Dmel","CG12159","2-57","43F1-43F1","2R:7915027..7916478(-1)","2R",7915027,7916478,"LinDiscrA"
"855","FBgn0033437",262.043396363625,-0.299015390737745,0.233956807354484,16.3321931172651,0.00260431644811395,0.036861094342536,23366,"Dmel","CG12926","2-61","45F6-45F6","2R:9608128..9610290(-1)","2R",9608128,9610290,"LinDiscrA"
"860","FBgn0033205",439.726449133873,0.361096804086836,0.236872349488093,16.2772744159093,0.00266880109479564,0.0375813583844626,21539,"Dmel","CG2064","2-57","43E9-43E9","2R:7665828..7667343(1)","2R",7665828,7667343,"LinDiscrA"
"869","FBgn0027788",4.91120232360052,-3.88812552889604,1.5722442007116,16.1954066337075,0.00276785862324563,0.0385468751384116,27344,"Dmel","Hey","2-58","44A2-44A2","2R:7995438..7998278(-1)","2R",7995438,7998278,"LinDiscrA"
"913","FBgn0027558",578.52863759281,0.215861860065995,0.0806194085172142,15.8478137201804,0.00323032340753503,0.0428237997399267,27677,"Dmel","Pgant3","2-55","42E7-42E7","2R:7057654..7061732(-1)","2R",7057654,7061732,"LinDiscrA"
"969","FBgn0000473",1368.36224810491,0.744366645924118,0.316942708002934,15.4081077556735,0.0039254864554485,0.0490443492952332,23326,"Dmel","Cyp6a2","2-55","42D1-42D1","2R:6779749..6781491(-1)","2R",6779749,6781491,"LinDiscrA"
"381","FBgn0033377",1786.57821511746,0.746144435484209,0.154975869579324,59.5891931700094,3.53871536471407e-12,1.13089893129178e-09,28898,"Dmel","Pgm2a","2-60","45A6-45A7","2R:9107151..9109718(-1)","2R",9107151,9109718,"LinDiscrB"
"451","FBgn0033366",2318.26042712266,2.00705022880665,0.348183564347946,58.0487875919862,7.45315548478774e-12,2.01135822682805e-09,27355,"Dmel","Ance-4","2-60","45A1-45A1","2R:9039728..9042142(-1)","2R",9039728,9042142,"LinDiscrB"
"941","FBgn0013307",2498.79616777947,1.76011999576107,0.326103911605848,47.065052212479,1.47807351965906e-09,1.90954519390847e-07,27332,"Dmel","Odc1","2-58","44A2-44A2","2R:8004824..8006672(1)","2R",8004824,8006672,"LinDiscrB"
"1091","FBgn0033320",3267.90236776081,1.64327020666211,0.315438956014204,44.9857116295788,4.00324943148102e-09,4.46013404549592e-07,27465,"Dmel","CG8586","2-59","44E2-44E2","2R:8692796..8696245(-1)","2R",8692796,8696245,"LinDiscrB"
"1821","FBgn0033250",5540.52392677032,1.54190551063287,0.328349530103609,35.9557143154258,2.9550376149673e-07,1.97175696682214e-05,27340,"Dmel","CG14762","2-58","44A2-44A2","2R:8009119..8013755(-1)","2R",8009119,8013755,"LinDiscrB"
"3551","FBgn0033247",868.488774221986,0.157312117454966,0.162033424381691,25.5539590465214,3.8920849482961e-05,0.00132396301434476,21016,"Dmel","Nup44A","2-58","44A2-44A2","2R:7988462..7991283(1)","2R",7988462,7991283,"LinDiscrB"
"3961","FBgn0083977",100.961442492127,-0.653940247431501,0.215338570698365,24.0489692245555,7.80896060957878e-05,0.00237964144591662,19522,"Dmel","CG34141","2-60","45C1-45C1","2R:9260278..9263971(-1)","2R",9260278,9263971,"LinDiscrB"
"4261","FBgn0015037",817.806804143477,2.40369360276147,0.577872186701146,23.2312303384913,0.000113844187196859,0.00323019581616508,21240,"Dmel","Cyp4p1","2-60","45B7-45B7","2R:9240041..9242139(1)","2R",9240041,9242139,"LinDiscrB"
"4641","FBgn0033304",711.123175966277,0.490147669071262,0.172972250825502,21.9590631047929,0.00020421604856342,0.00532188775483727,4724,"Dmel","Cyp6a13","2-59","44D3-44D3","2R:8570499..8572147(1)","2R",8570499,8572147,"LinDiscrB"
"5271","FBgn0033246",18479.3289876912,0.294832682518061,0.210723582913932,20.5061444024345,0.000396660016697698,0.0090887532882582,21038,"Dmel","ACC","2-58","44A1-44A2","2R:7974115..7991862(-1)","2R",7974115,7991862,"LinDiscrB"
"5341","FBgn0033378",858.90321018488,0.0990041007289567,0.0879126036592396,20.2662711914793,0.000442438208336515,0.00998693234579672,27376,"Dmel","tsu","2-60","45A7-45A7","2R:9110799..9111578(1)","2R",9110799,9111578,"LinDiscrB"
"6841","FBgn0033232",614.935929442721,0.100049330517696,0.0847644109710134,18.159685990846,0.00114849222133133,0.020301731493228,21177,"Dmel","CG12159","2-57","43F1-43F1","2R:7915027..7916478(-1)","2R",7915027,7916478,"LinDiscrB"
"8691","FBgn0027788",4.91120232360052,-3.88812552889604,1.5722442007116,16.1954066337075,0.00276785862324563,0.0385468751384116,27344,"Dmel","Hey","2-58","44A2-44A2","2R:7995438..7998278(-1)","2R",7995438,7998278,"LinDiscrB"
"151","FBgn0283461",10036.810074639,0.557616913415314,0.504308471506811,38.5609773792283,8.58358218022161e-08,6.9032464898418e-06,28780,"Dmel","Drs","3-8","63D2-63D2","3L:3369556..3369942(1)","3L",3369556,3369942,"MedLife"
"192","FBgn0259933",1480.27448703783,0.574372211866867,0.167076809475286,35.1092160159926,4.41146048911238e-07,2.79024875936358e-05,18973,"Dmel","CG42456","3-8","63D1-63D1","3L:3319555..3322489(1)","3L",3319555,3322489,"MedLife"
"750","FBgn0014455",6842.28121939685,0.386218262156114,0.248476881682483,17.3507240685583,0.00165198220373371,0.0266423265367095,19157,"Dmel","Ahcy","1-50","13C3-13C3","X:15450261..15453167(1)","X",15450261,15453167,"step"
