Category	Term	Count	Percent	PValue	Genes	List_Total	Pop Hits	Pop Total	Fold_Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR012336:Thioredoxin-like fold	36	1.461038961	0.002150344	"FBGN0035904, FBGN0031479, FBGN0035906, FBGN0027554, FBGN0030853, FBGN0034050, FBGN0032514, FBGN0063494, FBGN0010044, FBGN0032015, FBGN0033518, FBGN0063493, FBGN0004003, FBGN0010043, FBGN0010482, FBGN0063497, FBGN0035587, FBGN0063495, FBGN0040309, FBGN0040308, FBGN0014002, FBGN0038519, FBGN0033381, FBGN0033520, FBGN0001149, FBGN0033521, FBGN0000318, FBGN0033663, FBGN0036820, FBGN0033817, FBGN0025678, FBGN0010039, FBGN0010226, FBGN0030329, FBGN0030484, FBGN0040070"	2074	116	10984	1.643600572	0.994208208	0.643086812	3.708121902
UP_KEYWORDS	Disulfide bond	144	5.844155844	0.002157008	"FBGN0031926, FBGN0010389, FBGN0266137, FBGN0035880, FBGN0035806, FBGN0029082, FBGN0039734, FBGN0260004, FBGN0019928, FBGN0053459, FBGN0031217, FBGN0038484, FBGN0083968, FBGN0038017, FBGN0027095, FBGN0036024, FBGN0033558, FBGN0010403, FBGN0004569, FBGN0035887, FBGN0004622, FBGN0036023, FBGN0265296, FBGN0011828, FBGN0010473, FBGN0038479, FBGN0031879, FBGN0004360, FBGN0034160, FBGN0000564, FBGN0031872, FBGN0028482, FBGN0044048, FBGN0263116, FBGN0000039, FBGN0025879, FBGN0004885, FBGN0051221, FBGN0039420, FBGN0003358, FBGN0011204, FBGN0029167, FBGN0003149, FBGN0086359, FBGN0040309, FBGN0039527, FBGN0013763, FBGN0012037, FBGN0039494, FBGN0014002, FBGN0004168, FBGN0058160, FBGN0083949, FBGN0052373, FBGN0263260, FBGN0038002, FBGN0003444, FBGN0030329, FBGN0011554, FBGN0004108, FBGN0086674, FBGN0037222, FBGN0031850, FBGN0050083, FBGN0050289, FBGN0001137, FBGN0050287, FBGN0005585, FBGN0043578, FBGN0003719, FBGN0034117, FBGN0038113, FBGN0033327, FBGN0043576, FBGN0031654, FBGN0000108, FBGN0020906, FBGN0036986, FBGN0004118, FBGN0050281, FBGN0026415, FBGN0262570, FBGN0030480, FBGN0010240, FBGN0028370, FBGN0283461, FBGN0032006, FBGN0004514, FBGN0020506, FBGN0262018, FBGN0003137, FBGN0053532, FBGN0004598, FBGN0037515, FBGN0051665, FBGN0000592, FBGN0015777, FBGN0003328, FBGN0030051, FBGN0030925, FBGN0266100, FBGN0261363, FBGN0039073, FBGN0000079, FBGN0000078, FBGN0261800, FBGN0031381, FBGN0040070, FBGN0052702, FBGN0031066, FBGN0000490, FBGN0003495, FBGN0016123, FBGN0011582, FBGN0000636, FBGN0024234, FBGN0010114, FBGN0033192, FBGN0016075, FBGN0000299, FBGN0024230, FBGN0051092, FBGN0004431, FBGN0260653, FBGN0050090, FBGN0010453, FBGN0053517, FBGN0033663, FBGN0001083, FBGN0003011, FBGN0037950, FBGN0036727, FBGN0029826, FBGN0038147, FBGN0261341, FBGN0025678, FBGN0038199, FBGN0052475, FBGN0085400, FBGN0005672, FBGN0031461, FBGN0030941, FBGN0001285, FBGN0034997"	2385	670	13921	1.254497325	0.532374236	0.066765541	2.912526697
UP_KEYWORDS	Iron	49	1.988636364	0.002459699	"FBGN0014028, FBGN0034364, FBGN0037011, FBGN0030853, FBGN0038295, FBGN0039112, FBGN0032907, FBGN0032652, FBGN0033980, FBGN0259113, FBGN0263392, FBGN0031726, FBGN0019624, FBGN0031689, FBGN0041337, FBGN0011769, FBGN0017566, FBGN0030966, FBGN0011828, FBGN0263241, FBGN0038981, FBGN0033065, FBGN0038076, FBGN0030304, FBGN0030615, FBGN0037933, FBGN0032393, FBGN0027657, FBGN0030718, FBGN0038236, FBGN0034387, FBGN0039561, FBGN0015714, FBGN0050489, FBGN0010015, FBGN0053503, FBGN0031432, FBGN0002937, FBGN0031126, FBGN0015035, FBGN0015033, FBGN0030367, FBGN0034442, FBGN0021906, FBGN0024958, FBGN0024957, FBGN0003388, FBGN0014469, FBGN0013773"	2385	189	13921	1.513269664	0.579739497	0.069692445	3.314887825
GOTERM_MF_DIRECT	GO:0008307~structural constituent of muscle	9	0.36525974	0.0025008	"FBGN0041096, FBGN0034135, FBGN0033739, FBGN0264695, FBGN0005633, FBGN0014863, FBGN0035083, FBGN0038042, FBGN0037130"	1717	15	9284	3.24426325	0.939608568	0.429579578	3.934233937
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	37	1.501623377	0.00265547	"FBGN0036117, FBGN0051108, FBGN0032387, FBGN0033294, FBGN0034191, FBGN0033451, FBGN0038858, FBGN0038924, FBGN0030431, FBGN0035435, FBGN0010282, FBGN0038734, FBGN0010421, FBGN0030478, FBGN0032382, FBGN0035888, FBGN0013307, FBGN0013308, FBGN0086532, FBGN0034406, FBGN0031995, FBGN0020506, FBGN0037723, FBGN0004575, FBGN0037607, FBGN0002906, FBGN0032338, FBGN0036997, FBGN0263241, FBGN0053138, FBGN0030052, FBGN0033769, FBGN0000079, FBGN0000527, FBGN0034999, FBGN0000078, FBGN0033187"	1717	124	9284	1.613410487	0.949244811	0.391519392	4.172729711
UP_KEYWORDS	Mitochondrion	64	2.597402597	0.002737134	"FBGN0039835, FBGN0014028, FBGN0027945, FBGN0031651, FBGN0039112, FBGN0033413, FBGN0032907, FBGN0040529, FBGN0033274, FBGN0039930, FBGN0035032, FBGN0083968, FBGN0042083, FBGN0019624, FBGN0030480, FBGN0011361, FBGN0039827, FBGN0050493, FBGN0029888, FBGN0034390, FBGN0011769, FBGN0017566, FBGN0261439, FBGN0030966, FBGN0003423, FBGN0015245, FBGN0039360, FBGN0032393, FBGN0003360, FBGN0004363, FBGN0035298, FBGN0034387, FBGN0039561, FBGN0029870, FBGN0050489, FBGN0037239, FBGN0038234, FBGN0031231, FBGN0053503, FBGN0283494, FBGN0016691, FBGN0026261, FBGN0028646, FBGN0038662, FBGN0275436, FBGN0038923, FBGN0029161, FBGN0030786, FBGN0032720, FBGN0039140, FBGN0083983, FBGN0036892, FBGN0010222, FBGN0033907, FBGN0261381, FBGN0020235, FBGN0033086, FBGN0021906, FBGN0032744, FBGN0035335, FBGN0003388, FBGN0037778, FBGN0023537, FBGN0031814"	2385	263	13921	1.420385649	0.618937658	0.071527756	3.682320031
INTERPRO	"IPR013816:ATP-grasp fold, subdomain 2"	8	0.324675325	0.002741405	"FBGN0020236, FBGN0030882, FBGN0029118, FBGN0000053, FBGN0039877, FBGN0004575, FBGN0052495, FBGN0033246"	2074	12	10984	3.530697525	0.998597068	0.665415282	4.704415271
GOTERM_CC_DIRECT	GO:0008250~oligosaccharyltransferase complex	6	0.243506494	0.00274488	"FBGN0263852, FBGN0034277, FBGN0011336, FBGN0053774, FBGN0031529, FBGN0053303"	1790	7	10026	4.800957702	0.777040464	0.139357863	3.927911277
INTERPRO	IPR002347:Glucose/ribitol dehydrogenase	21	0.852272727	0.002784383	"FBGN0032614, FBGN0033679, FBGN0034500, FBGN0029975, FBGN0000055, FBGN0263830, FBGN0051810, FBGN0029866, FBGN0051548, FBGN0030968, FBGN0029648, FBGN0014032, FBGN0030041, FBGN0039043, FBGN0040349, FBGN0037354, FBGN0030332, FBGN0050491, FBGN0051809, FBGN0035964, FBGN0030073"	2074	57	10984	1.951174948	0.998734544	0.614490317	4.776478956
INTERPRO	IPR000301:Tetraspanin	13	0.527597403	0.002973888	"FBGN0033130, FBGN0029837, FBGN0024361, FBGN0033134, FBGN0033127, FBGN0033135, FBGN0020372, FBGN0033139, FBGN0033129, FBGN0033128, FBGN0042086, FBGN0029508, FBGN0029506"	2074	28	10984	2.458878633	0.99919697	0.589709461	5.093619079
UP_KEYWORDS	Transit peptide	40	1.623376623	0.00300285	"FBGN0034387, FBGN0039835, FBGN0050489, FBGN0014028, FBGN0038234, FBGN0027945, FBGN0031231, FBGN0031651, FBGN0053503, FBGN0039112, FBGN0016691, FBGN0040529, FBGN0026261, FBGN0033274, FBGN0275436, FBGN0038923, FBGN0030786, FBGN0042083, FBGN0019624, FBGN0011361, FBGN0039827, FBGN0050493, FBGN0083983, FBGN0034390, FBGN0036892, FBGN0011769, FBGN0017566, FBGN0261439, FBGN0030966, FBGN0010222, FBGN0003423, FBGN0015245, FBGN0261381, FBGN0020235, FBGN0033086, FBGN0032744, FBGN0032393, FBGN0003388, FBGN0037778, FBGN0023537"	2385	148	13921	1.577539804	0.653056476	0.072825792	4.033015992
GOTERM_BP_DIRECT	GO:0007264~small GTPase mediated signal transduction	22	0.892857143	0.003211836	"FBGN0037754, FBGN0013749, FBGN0039140, FBGN0028509, FBGN0000384, FBGN0015797, FBGN0050158, FBGN0036980, FBGN0015791, FBGN0000115, FBGN0037326, FBGN0035711, FBGN0035866, FBGN0041191, FBGN0264753, FBGN0086913, FBGN0038916, FBGN0085421, FBGN0014380, FBGN0085419, FBGN0265605, FBGN0031906"	1861	68	10996	1.911622467	0.999592086	0.6720592	5.498773519
GOTERM_BP_DIRECT	GO:0050965~detection of temperature stimulus involved in sensory perception of pain	15	0.608766234	0.003354322	"FBGN0053202, FBGN0032840, FBGN0033358, FBGN0010014, FBGN0034050, FBGN0087039, FBGN0034126, FBGN0026592, FBGN0037487, FBGN0060296, FBGN0259146, FBGN0020258, FBGN0031081, FBGN0034736, FBGN0030600"	1861	39	10996	2.272558178	0.99971163	0.639011118	5.735981737
UP_KEYWORDS	ER-Golgi transport	10	0.405844156	0.003419041	"FBGN0008635, FBGN0025724, FBGN0013749, FBGN0028968, FBGN0250791, FBGN0000346, FBGN0025725, FBGN0015797, FBGN0038303, FBGN0267330"	2385	20	13921	2.918448637	0.700477099	0.077226029	4.579934526
INTERPRO	IPR001806:Small GTPase superfamily	23	0.933441558	0.00364702	"FBGN0037754, FBGN0015790, FBGN0014009, FBGN0039140, FBGN0028509, FBGN0262518, FBGN0035255, FBGN0015797, FBGN0050158, FBGN0015795, FBGN0036980, FBGN0015791, FBGN0037326, FBGN0037364, FBGN0035711, FBGN0041191, FBGN0264753, FBGN0086913, FBGN0014380, FBGN0003206, FBGN0085419, FBGN0265605, FBGN0031906"	2074	66	10984	1.845591888	0.999840469	0.621475561	6.212082415
INTERPRO	IPR000210:BTB/POZ-like	25	1.01461039	0.003678948	"FBGN0030228, FBGN0001301, FBGN0052121, FBGN0036980, FBGN0005564, FBGN0035903, FBGN0034706, FBGN0038839, FBGN0039696, FBGN0013263, FBGN0040344, FBGN0030330, FBGN0022238, FBGN0030961, FBGN0004870, FBGN0035107, FBGN0264493, FBGN0034396, FBGN0029822, FBGN0005695, FBGN0030710, FBGN0086758, FBGN0085405, FBGN0264442, FBGN0262580"	2074	74	10984	1.789204827	0.999852245	0.586043987	6.26482289
UP_KEYWORDS	Capsid protein	5	0.202922078	0.003704356	"FBGN0028969, FBGN0028968, FBGN0027496, FBGN0025725, FBGN0040512"	2385	5	13921	5.836897275	0.729194534	0.078402922	4.953198619
GOTERM_BP_DIRECT	GO:0007479~leg disc proximal/distal pattern formation	9	0.36525974	0.003788083	"FBGN0004854, FBGN0011758, FBGN0003866, FBGN0267978, FBGN0000611, FBGN0000490, FBGN0000459, FBGN0004635, FBGN0005677"	1861	17	10996	3.128109492	0.999899699	0.640498789	6.454646581
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	33	1.339285714	0.003885363	"FBGN0030872, FBGN0039561, FBGN0250814, FBGN0039835, FBGN0030403, FBGN0035244, FBGN0014028, FBGN0035039, FBGN0039112, FBGN0047038, FBGN0016691, FBGN0028646, FBGN0038662, FBGN0039930, FBGN0039674, FBGN0019624, FBGN0036142, FBGN0050493, FBGN0266599, FBGN0261439, FBGN0037146, FBGN0036702, FBGN0033235, FBGN0004635, FBGN0015245, FBGN0039360, FBGN0020235, FBGN0033086, FBGN0034792, FBGN0021906, FBGN0032744, FBGN0003360, FBGN0023536"	1790	113	10026	1.635724527	0.880631497	0.175708378	5.517280329
UP_KEYWORDS	Magnesium	34	1.37987013	0.003893684	"FBGN0019982, FBGN0051729, FBGN0034988, FBGN0036298, FBGN0000346, FBGN0038603, FBGN0040298, FBGN0038295, FBGN0016123, FBGN0003076, FBGN0015553, FBGN0085453, FBGN0000150, FBGN0003071, FBGN0000320, FBGN0033377, FBGN0030882, FBGN0000052, FBGN0037470, FBGN0052549, FBGN0027526, FBGN0000384, FBGN0016687, FBGN0031663, FBGN0020236, FBGN0033426, FBGN0041191, FBGN0010222, FBGN0034712, FBGN0039016, FBGN0023171, FBGN0046689, FBGN0052495, FBGN0043791"	2385	122	13921	1.62667629	0.746718013	0.077602961	5.200138052
GOTERM_MF_DIRECT	GO:0005184~neuropeptide hormone activity	14	0.568181818	0.004027214	"FBGN0032840, FBGN0028374, FBGN0040717, FBGN0045038, FBGN0039722, FBGN0032048, FBGN0035092, FBGN0042201, FBGN0038147, FBGN0027109, FBGN0038199, FBGN0035282, FBGN0000564, FBGN0000715"	1717	33	9284	2.29392351	0.989150346	0.475983303	6.26374893
INTERPRO	IPR018499:Tetraspanin/Peripherin	15	0.608766234	0.004050296	"FBGN0033130, FBGN0029837, FBGN0033132, FBGN0024361, FBGN0033134, FBGN0033127, FBGN0033135, FBGN0020372, FBGN0033139, FBGN0033129, FBGN0033128, FBGN0042086, FBGN0029508, FBGN0016032, FBGN0029506"	2074	36	10984	2.206685953	0.99993945	0.586423517	6.876193021
INTERPRO	IPR002048:EF-hand domain	30	1.217532468	0.004105686	"FBGN0016693, FBGN0036926, FBGN0025682, FBGN0038830, FBGN0004687, FBGN0038829, FBGN0010014, FBGN0003514, FBGN0024238, FBGN0028646, FBGN0013348, FBGN0037358, FBGN0033190, FBGN0038735, FBGN0010423, FBGN0038088, FBGN0012051, FBGN0010424, FBGN0002773, FBGN0002772, FBGN0039140, FBGN0033027, FBGN0033529, FBGN0004910, FBGN0020908, FBGN0039380, FBGN0010470, FBGN0000667, FBGN0037074, FBGN0051345"	2074	95	10984	1.67243567	0.999946995	0.559756646	6.967061098
UP_KEYWORDS	Endoplasmic reticulum	47	1.907467532	0.004124741	"FBGN0010391, FBGN0038236, FBGN0015714, FBGN0005585, FBGN0039172, FBGN0004132, FBGN0069242, FBGN0031432, FBGN0037612, FBGN0004003, FBGN0053303, FBGN0035206, FBGN0031049, FBGN0031126, FBGN0033980, FBGN0033691, FBGN0041723, FBGN0014002, FBGN0262801, FBGN0028968, FBGN0015035, FBGN0263852, FBGN0031689, FBGN0011016, FBGN0015033, FBGN0041337, FBGN0267972, FBGN0250820, FBGN0014868, FBGN0261020, FBGN0267330, FBGN0040623, FBGN0030367, FBGN0041191, FBGN0025678, FBGN0053113, FBGN0263260, FBGN0038076, FBGN0033065, FBGN0030304, FBGN0030615, FBGN0030329, FBGN0030306, FBGN0005672, FBGN0053774, FBGN0014469, FBGN0013773"	2385	184	13921	1.490946586	0.766578971	0.07764806	5.500700662
INTERPRO	IPR011992:EF-hand-like domain	35	1.420454545	0.004134906	"FBGN0016693, FBGN0036926, FBGN0025682, FBGN0038830, FBGN0266417, FBGN0004687, FBGN0038829, FBGN0010014, FBGN0003514, FBGN0024238, FBGN0028646, FBGN0033739, FBGN0037358, FBGN0013348, FBGN0033190, FBGN0010423, FBGN0038735, FBGN0038088, FBGN0012051, FBGN0030691, FBGN0010424, FBGN0002773, FBGN0002772, FBGN0039140, FBGN0033027, FBGN0032643, FBGN0011286, FBGN0033529, FBGN0004910, FBGN0020908, FBGN0039380, FBGN0010470, FBGN0000667, FBGN0037074, FBGN0051345"	2074	116	10984	1.597945	0.999950589	0.533603312	7.014962977
UP_KEYWORDS	Zinc	128	5.194805195	0.004415434	"FBGN0033038, FBGN0045852, FBGN0032516, FBGN0038603, FBGN0053144, FBGN0039734, FBGN0032691, FBGN0011837, FBGN0000139, FBGN0027094, FBGN0027091, FBGN0083968, FBGN0041789, FBGN0259113, FBGN0263392, FBGN0037744, FBGN0260635, FBGN0039348, FBGN0051064, FBGN0259680, FBGN0022359, FBGN0003651, FBGN0038788, FBGN0028945, FBGN0000568, FBGN0267978, FBGN0039626, FBGN0013751, FBGN0005616, FBGN0264442, FBGN0034420, FBGN0025879, FBGN0004885, FBGN0035626, FBGN0010015, FBGN0039420, FBGN0086350, FBGN0003141, FBGN0038956, FBGN0038950, FBGN0028497, FBGN0263980, FBGN0086359, FBGN0085354, FBGN0030788, FBGN0002573, FBGN0033631, FBGN0012037, FBGN0001319, FBGN0035333, FBGN0041582, FBGN0032189, FBGN0039740, FBGN0024289, FBGN0000459, FBGN0038965, FBGN0036959, FBGN0037220, FBGN0028979, FBGN0001138, FBGN0037583, FBGN0035246, FBGN0005585, FBGN0036839, FBGN0037580, FBGN0043578, FBGN0261565, FBGN0051721, FBGN0003719, FBGN0033327, FBGN0043576, FBGN0036986, FBGN0014931, FBGN0031450, FBGN0038546, FBGN0029885, FBGN0001320, FBGN0030480, FBGN0043799, FBGN0032253, FBGN0001990, FBGN0259481, FBGN0025186, FBGN0000482, FBGN0266918, FBGN0011762, FBGN0002868, FBGN0035021, FBGN0033782, FBGN0004858, FBGN0266100, FBGN0015247, FBGN0039073, FBGN0030305, FBGN0000524, FBGN0043791, FBGN0004463, FBGN0265464, FBGN0265356, FBGN0032536, FBGN0003598, FBGN0028509, FBGN0035766, FBGN0037734, FBGN0003866, FBGN0030878, FBGN0032066, FBGN0039252, FBGN0016123, FBGN0003002, FBGN0030358, FBGN0033739, FBGN0266410, FBGN0032069, FBGN0004926, FBGN0051352, FBGN0259209, FBGN0013263, FBGN0034728, FBGN0030600, FBGN0036826, FBGN0004395, FBGN0003507, FBGN0034712, FBGN0014863, FBGN0011640, FBGN0003117, FBGN0030230"	2385	598	13921	1.249369316	0.78937465	0.078712249	5.877583605
INTERPRO	"IPR020849:Small GTPase superfamily, Ras type"	10	0.405844156	0.004417783	"FBGN0035711, FBGN0037754, FBGN0037326, FBGN0264753, FBGN0041191, FBGN0050158, FBGN0003206, FBGN0085419, FBGN0265605, FBGN0031906"	2074	19	10984	2.787392783	0.999974963	0.530833805	7.477500722
GOTERM_BP_DIRECT	GO:0016311~dephosphorylation	20	0.811688312	0.004445905	"FBGN0000032, FBGN0027506, FBGN0034988, FBGN0027560, FBGN0036876, FBGN0037165, FBGN0037164, FBGN0016123, FBGN0038912, FBGN0028497, FBGN0034712, FBGN0036553, FBGN0036551, FBGN0032032, FBGN0030761, FBGN0025742, FBGN0003892, FBGN0043791, FBGN0030347, FBGN0037064"	1861	61	10996	1.937262709	0.9999798	0.660737532	7.534687582
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	58	2.353896104	0.004669405	"FBGN0032614, FBGN0027579, FBGN0001137, FBGN0035947, FBGN0005585, FBGN0032514, FBGN0004003, FBGN0053303, FBGN0039776, FBGN0021795, FBGN0266449, FBGN0035206, FBGN0027095, FBGN0262125, FBGN0031544, FBGN0266758, FBGN0011016, FBGN0267330, FBGN0261020, FBGN0053113, FBGN0052451, FBGN0038039, FBGN0010470, FBGN0045073, FBGN0031635, FBGN0037756, FBGN0028327, FBGN0053977, FBGN0004132, FBGN0040491, FBGN0027074, FBGN0086357, FBGN0027070, FBGN0035762, FBGN0041723, FBGN0040308, FBGN0047135, FBGN0014002, FBGN0020626, FBGN0262801, FBGN0037728, FBGN0028968, FBGN0038515, FBGN0015035, FBGN0033663, FBGN0036919, FBGN0004635, FBGN0038868, FBGN0034282, FBGN0025678, FBGN0037958, FBGN0263260, FBGN0034442, FBGN0031260, FBGN0030329, FBGN0005672, FBGN0052179, FBGN0041775"	1790	230	10026	1.412455672	0.922343958	0.191807894	6.595673435
KEGG_PATHWAY	"dme00260:Glycine, serine and threonine metabolism"	13	0.527597403	0.004839442	"FBGN0037684, FBGN0036208, FBGN0039094, FBGN0027945, FBGN0014869, FBGN0036997, FBGN0029823, FBGN0037801, FBGN0014427, FBGN0032350, FBGN0034276, FBGN0030592, FBGN0036762"	573	27	2737	2.299851335	0.449372312	0.057924294	5.440152941
GOTERM_MF_DIRECT	GO:0004602~glutathione peroxidase activity	13	0.527597403	0.004887788	"FBGN0033520, FBGN0031479, FBGN0001149, FBGN0010044, FBGN0063494, FBGN0063493, FBGN0033518, FBGN0010043, FBGN0063497, FBGN0063495, FBGN0010039, FBGN0010226, FBGN0040309"	1717	30	9284	2.343079014	0.99588306	0.496705932	7.553645268
SMART	SM00408:IGc2	32	1.298701299	0.004904317	"FBGN0035410, FBGN0052057, FBGN0010389, FBGN0053202, FBGN0052600, FBGN0260995, FBGN0029082, FBGN0037993, FBGN0265045, FBGN0051619, FBGN0052311, FBGN0039617, FBGN0037295, FBGN0031725, FBGN0265296, FBGN0028370, FBGN0053519, FBGN0032006, FBGN0052791, FBGN0003137, FBGN0053512, FBGN0011828, FBGN0039431, FBGN0083949, FBGN0038282, FBGN0010473, FBGN0032233, FBGN0041097, FBGN0085400, FBGN0053543, FBGN0031872, FBGN0028482"	945	109	5218	1.621047522	0.864129288	0.631393555	6.641434527
GOTERM_MF_DIRECT	GO:0051920~peroxiredoxin activity	5	0.202922078	0.004960326	"FBGN0033520, FBGN0031479, FBGN0033521, FBGN0040309, FBGN0033518"	1717	5	9284	5.407105416	0.996206107	0.461718496	7.661606693
GOTERM_MF_DIRECT	GO:0000049~tRNA binding	11	0.446428571	0.004962966	"FBGN0027094, FBGN0275436, FBGN0037347, FBGN0026079, FBGN0259146, FBGN0027091, FBGN0032430, FBGN0034748, FBGN0039588, FBGN0032793, FBGN0033375"	1717	23	9284	2.586006938	0.996217373	0.42749491	7.665533459
INTERPRO	"IPR018247:EF-Hand 1, calcium-binding site"	27	1.095779221	0.005204438	"FBGN0002773, FBGN0039140, FBGN0033027, FBGN0032643, FBGN0016693, FBGN0036926, FBGN0025682, FBGN0004687, FBGN0010014, FBGN0038829, FBGN0033529, FBGN0003514, FBGN0024238, FBGN0020908, FBGN0004910, FBGN0037358, FBGN0013348, FBGN0039380, FBGN0010470, FBGN0000667, FBGN0027095, FBGN0010423, FBGN0038735, FBGN0038088, FBGN0012051, FBGN0051345, FBGN0010424"	2074	84	10984	1.702300592	0.999996224	0.56501751	8.752397721
GOTERM_BP_DIRECT	GO:0007455~eye-antennal disc morphogenesis	11	0.446428571	0.005238233	"FBGN0004854, FBGN0011758, FBGN0003444, FBGN0004870, FBGN0000490, FBGN0003302, FBGN0003892, FBGN0004569, FBGN0003002, FBGN0000320, FBGN0003460"	1861	25	10996	2.599806556	0.999997072	0.685981951	8.819954593
COG_ONTOLOGY	"Posttranslational modification, protein turnover, chaperones"	43	1.74512987	0.005244657	"FBGN0028684, FBGN0039612, FBGN0039613, FBGN0035904, FBGN0031479, FBGN0013746, FBGN0027578, FBGN0035906, FBGN0039611, FBGN0035244, FBGN0030993, FBGN0031256, FBGN0010044, FBGN0063494, FBGN0063493, FBGN0033518, FBGN0039116, FBGN0039564, FBGN0063497, FBGN0035587, FBGN0063495, FBGN0016756, FBGN0030316, FBGN0040308, FBGN0031805, FBGN0037293, FBGN0028970, FBGN0033381, FBGN0033520, FBGN0033521, FBGN0039478, FBGN0033817, FBGN0029843, FBGN0005322, FBGN0031081, FBGN0014427, FBGN0032393, FBGN0031322, FBGN0039609, FBGN0030484, FBGN0031633, FBGN0035144, FBGN0037384"	266	138	1239	1.451372998	0.185417753	0.185417753	4.669475974
INTERPRO	IPR007110:Immunoglobulin-like domain	39	1.582792208	0.005381897	"FBGN0039089, FBGN0035410, FBGN0052057, FBGN0010389, FBGN0053202, FBGN0052600, FBGN0260995, FBGN0029082, FBGN0034788, FBGN0034920, FBGN0000636, FBGN0034725, FBGN0010114, FBGN0037993, FBGN0265045, FBGN0051619, FBGN0052311, FBGN0039617, FBGN0037295, FBGN0031725, FBGN0265296, FBGN0028370, FBGN0053519, FBGN0032006, FBGN0052791, FBGN0003137, FBGN0053512, FBGN0039431, FBGN0011828, FBGN0083949, FBGN0032629, FBGN0038282, FBGN0010473, FBGN0032233, FBGN0041097, FBGN0085400, FBGN0053543, FBGN0031872, FBGN0028482"	2074	135	10984	1.529968927	0.999997536	0.553851641	9.037697035
INTERPRO	"IPR008952:Tetraspanin, EC2 domain"	15	0.608766234	0.0054031	"FBGN0033130, FBGN0029837, FBGN0033132, FBGN0024361, FBGN0033134, FBGN0033127, FBGN0033135, FBGN0020372, FBGN0033139, FBGN0033129, FBGN0033128, FBGN0042086, FBGN0029508, FBGN0016032, FBGN0029506"	2074	37	10984	2.147045792	0.999997658	0.533560927	9.071728835
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	14	0.568181818	0.005435733	"FBGN0036117, FBGN0086532, FBGN0037684, FBGN0031174, FBGN0001125, FBGN0036208, FBGN0004516, FBGN0033451, FBGN0029823, FBGN0036975, FBGN0032393, FBGN0030478, FBGN0001124, FBGN0036381"	1717	34	9284	2.226455171	0.997779622	0.426192674	8.36625497
