Category	Term	Count	percent	PValue	Genes	List_Total	Pop_Hits	Pop_Total	Fold_Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	dme01200:Carbon metabolism	35	0.078811079	1.48E-04	"NC73EF, CG17333, CG18003, CG1640, TPI, PGD, GOT2, GOT1, CG8129, GAPDH2, PGI, CG8036, CG6767, CG17896, CG3999, TALDO, PGK, ARC42, IRP-1B, L(1)G0255, IRP-1A, L(1)G0334, FBP, CG7430, CG6287, CG11899, SUCB, SDHA, SDHB, PGLYM78, SDHC, SDHD, PFK, MDH2, MDH1"	538	85	2402	1.8383993	0.017747259	0.002979989	0.169991544
INTERPRO	IPR002048:EF-hand domain	30	0.067552353	1.63E-04	"ELM, CG5890, CG10126, TPNC73F, CG17271, CG17272, PAST1, MIRO, MLC-C, FIM, CG7324, CG4662, MLC2, MLC1, SCF, CG2137, CG7646, EIP63F-1, SQH, ARALAR1, ACTN, CALPA, TPNC47D, TPNC4, CANB, CG31345, TPNC41C, FKBP14, CG17765, SCP1"	1985	73	9553	1.977778545	0.310677831	0.169745721	0.284001784
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	36	0.081062824	2.85E-04	"CG15117, GFAT2, BETAGLU, CG17333, IMPL3, CG13397, CG7997, SERP, AMY-D, MAL-B2, AGBE, CG8417, NST, TOBI, CG8460, PMM45A, AMY-P, HEXO2, TALDO, VERM, GLCAT-I, MAL-A4, CG11594, CG16965, CDA4, CG17065, NMDMC, SGL, ECT3, CHT7, IDGF4, RHEB, BETA4GALNACTA, MDH2, AMYREL, MDH1"	1773	97	8604	1.801036161	0.490538936	0.490538936	0.498441022
KEGG_PATHWAY	dme00500:Starch and sucrose metabolism	16	0.036027922	2.88E-04	"MAL-A4, CG7685, AMY-D, MAL-B2, AGBE, TOBI, CG5177, PMM45A, AMY-P, GLYS, PGI, TREH, UGP, PGM, TPS1, AMYREL"	538	28	2402	2.551248008	0.034208142	0.004960077	0.33016475
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	59	0.132852961	3.30E-04	"STIM, RHOL, CG5890, SYT7, CG17271, CG17272, AMY-D, LPR2, AMY-P, FIM, TLD, CG4662, CG2137, SQH, EIP63F-1, UP, ARALAR1, UIF, CANB, ANXB9, TPNC41C, CG11377, FKBP14, CG17593, CAD89D, GXIVSPLA2, ELM, CG10126, TPNC73F, CALR, MIRO, PAST1, MLC-C, CG32373, CG7324, MLC2, CADN2, MLC1, CUBN, SCF, CG7646, WRY, RYR, ANXB10, ACTN, TPNC47D, CALPA, CUE, CADPS, TPNC4, CG6454, CRYS, TSP, CG31345, SYT14, TOK, CG17765, SCP1, RPH"	1643	181	7786	1.54472179	0.301293208	0.301293208	0.526119256
KEGG_PATHWAY	dme00040:Pentose and glucuronate interconversions	21	0.047286647	3.51E-04	"SODH-2, UGT37C1, SODH-1, CG15117, BETAGLU, UGT86DI, CG10178, UGT35B, SGL, CG3609, UGT37A1, CG17323, CG9914, CG3534, CG15661, UGP, CG9436, CG6083, CG6084, CG7322, CG10863"	538	43	2402	2.180427077	0.041585639	0.005295314	0.402754946
KEGG_PATHWAY	dme00190:Oxidative phosphorylation	38	0.085566314	3.90E-04	"ND-30, ATPSYNO, ND-B15, COX7A, ND-13B, ND-ACP, COX7C, ND-MLRQ, LEVY, COX5A, COX5B, UQCR-C2, ND-ASHI, VHA36-3, NURF-38, CG5037, ATPSYNGAMMA, CYPE, VHA36-1, VHA68-1, CYT-C1, ND-20, ND-24, ND-49, VHAM9.7-A, COX6B, NP15.6, SDHA, RFESP, SDHB, SDHC, SDHD, ATPSYNF, VHA14-1, ND-75, ATPSYNG, ND-51, COX8"	538	99	2402	1.713717097	0.046081453	0.005228173	0.44723945
UP_KEYWORDS	Metal-binding	227	0.511146138	4.18E-04	"DIP-C, CYP4E2, CYP4E3, TAMO, DX, AMY-D, DNAPOL-ALPHA50, CG31064, SHD, AMY-P, TLD, ADE3, PGM, ADE2, CG4858, ND-20, CG44837, ND-24, CYP4D8, SENS, RFESP, CYP12B2, ASH2, PFK, INVADOLYSIN, HIW, MSL-2, MOB2, FDX1, CG10737, CG45050, MYT1, CALR, CG1317, PXN, ARX, CG12264, NURF-38, CG13928, ANCE, MOCS1, MLC2, CADN2, ZIPIC, CG7646, IRP-1B, IRP-1A, TPNC47D, CG7791, NINAB, RHEB, ARI-2, RPH, TAKL1, CYP4S3, PKD, CG43729, SUG, CYP28D1, CG34325, CG11771, SODH-2, TIO, SODH-1, CG32549, CYP313A4, RAD50, CYP313A1, PGRP-SB1, AB, CANB, TIMP, ELB, PR, GRASS, AP, CAD89D, EIP75B, CG10362, TPNC73F, TN, AWH, AWD, UNK, DNAPOL-ALPHA180, TET, TAILOR, SU(VAR)3-7, EYA, CANA1, ATPCL, ALP4, DYB, SOD3, SDHB, SDHD, SVP, CYP4G15, UBLCP1, DIAP2, DIAP1, LMANIII, STIM, CG9272, MATS, CENG1A, CG5493, MLP60A, PNR, COX5A, ATAC2, CG11257, WUPA, CG6769, CG6870, RPIII128, RIPALPHA, CG6154, CG14641, CYP12D1-D, DAT, HRS, CG34424, CYP309A2, CYP309A1, CG6951, ANCE-3, EIP63F-1, LIN-28, SQH, KNI, ARALAR1, CG5188, GLOB1, CYP12D1-P, MTNA, HAM, TACE, CG9684, SLU7, CYP6W1, CG3530, NPL4, LMPT, WEK, TRL, GYC88E, MIRO, MLC-C, GS1L, CYP311A1, TIM9A, LMANI, PMM45A, TEF, TIS11, SRP, PKCDELTA, CYP6A22, TRAF6, CYP6A20, CG4408, CG7631, CUBN, CG17065, TSH, CALPA, CG5282, TRBD, CYP6A16, CYP6A17, DPPIII, AMYREL, DISCO, CG4622, LECTIN-37DA, CG32495, HO, CG5890, CG34132, CG5346, NST, GSS, SAP30, TRIM9, MLP84B, GLCAT-I, CG32486, PPO3, LMANVI, CG33144, MDLC, CG3224, PAX, TPNC41C, CTA, DOR, GRN, CN-IIIB, DCR-1, LARK, ECO, CG6225, RNH1, COMT, CG8891, CG1814, CG8417, CYP6V1, OPA, CG7379, KN, CG5379, CG2678, ACTN, MCO1, SIRT2, CADPS, UNC-115A, CG5382, TOS, PGRP-SC1A, PGRP-SC1B, CG31381, TOK, CG7280, ND-75"	2291	926	11424	1.222384898	0.135695878	0.047447631	0.5696167
UP_KEYWORDS	Transport	130	0.292726863	4.23E-04	"STIM, TAMO, NHE3, SHAWN, CNGB, CG15279, LSD-1, ALPHACOP, ND-ASHI, CG1208, CG10960, MDR49, TRAM, ATPSYNGAMMA, HISCL1, PORIN, FABP, RAB26, CG7708, DAT, PPK3, CG18327, VACHT, ARALAR1, IRK3, LCCH3, MEMBRIN, SEC61ALPHA, GLOB1, KDELR, RFESP, FDX1, FS(2)KET, RAB6, ND-ACP, BETACOP, PPK, W, TIM9A, VHA36-3, CG9702, SAU, NRV2, LIST, SEC23, INE, CG32669, VHA36-1, SUT2, CG13078, CUBN, GAMMACOP, CLUMSY, IR25A, MPC1, RYR, VPS60, CG5646, CG1907, CG1275, GLURIA, GLUT1, CG7589, GLURIIA, CG10337, VHA14-1, ZETACOP, MTOR, SESB, DELTACOP, SEC3, PPK30, OSBP, EAAT2, ATPSYNO, CG34132, ORT, RHO-5, NACHRALPHA2, ALPHASNAP, INX7, SLL, CG12344, CG8249, CAR, SLV, CG10864, ORCT2, VHA68-1, TRX-2, PPK20, NACHRBETA2, PPK26, CG7943, CG5254, MEIGO, CG8860, CG8399, DOR, ARF102F, PAIN, SEA, ATPSYNF, SHAL, CG3822, TRPGAMMA, PPK10, FRC, CG2930, COMT, MFRN, NEMY, ST, PMP34, CG34396, SEC61GAMMA, PPK19, OATP58DC, MTCH, SPOCK, CATSUP, MDR65, SIDL, COG3, SDHA, CADPS, SDHB, UCP4A, SDHD, ND-75"	2291	492	11424	1.317562892	0.137417719	0.036281639	0.577383385
INTERPRO	IPR011992:EF-hand-like domain	34	0.076559333	4.47E-04	"ELM, CG5890, CG10126, TPNC73F, GCS2BETA, CG17271, CG17272, MIRO, PAST1, MLC-C, EFHC1.1, FIM, CG7324, CG4662, MLC2, MLC1, SCF, CG2137, CG7646, EIP63F-1, SQH, ARALAR1, RYR, DYB, ACTN, CALPA, TPNC47D, TPNC4, CANB, CG31345, TPNC41C, FKBP14, CG17765, SCP1"	1985	91	9553	1.798112215	0.639850987	0.2885232	0.777631522
INTERPRO	"IPR019479:Peroxiredoxin, C-terminal"	7	0.015762216	4.59E-04	"PRX6005, PRX3, CG12896, JAFRAC2, JAFRAC1, PRX2540-1, PRX2540-2"	1985	7	9553	4.812594458	0.649724767	0.230688264	0.798714324
INTERPRO	IPR000866:Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	7	0.015762216	4.59E-04	"PRX6005, PRX3, CG12896, JAFRAC2, JAFRAC1, PRX2540-1, PRX2540-2"	1985	7	9553	4.812594458	0.649724767	0.230688264	0.798714324
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	102	0.229678	6.48E-04	"CG1434, PRX6005, IMPL3, CYP4E2, PGD, CG5493, CYP4E3, PRX2540-1, CG3902, PRX2540-2, CG11257, CG9674, SHD, CG9914, CYP12D1-D, CG3999, CYP309A2, PH4ALPHAEFB, CYP309A1, CG2137, CG7470, CYP12D1-P, CYP4D8, SPTR, EO, CYP12B2, CG5321, CG6144, CYP6W1, CG9331, MDH1, CG7460, ND-30, FDX1, CG9514, PXN, CYP311A1, CG9521, CYP6A22, CG17896, CG3645, CG6083, CYP6A20, CG6084, CG13078, CG8665, ALDH, FASN2, CG1275, NINAB, CYP6A16, CYP6A17, CG10337, ZETACOP, DRAT, CG15093, CYP4S3, CG5346, GAPDH2, CYP28D1, CG9436, SARDH, CG10863, SODH-2, FMO-2, SODH-1, NMDMC, CG4199, CYP313A4, CG6287, CYP313A1, CG8399, JAFRAC2, CG6910, JAFRAC1, CG17807, CG10638, CG18003, CG31075, CG31674, CG3609, CG15717, CYP6V1, PRX3, CG9743, ARC42, SGLL, SGL, CG12896, ALDH-III, MCO1, SOD3, P5CR, CG10561, PUG, CG5167, CG18547, CG9547, CYP4G15, CG2604, CG10814, CG7280"	1773	366	8604	1.352417409	0.784210277	0.535468276	1.129755934
SMART	SM00054:EFh	23	0.051790137	6.71E-04	"MLC2, SCF, CG7646, ELM, SQH, EIP63F-1, CG5890, CG10126, ARALAR1, TPNC73F, ACTN, PAST1, TPNC47D, CALPA, MLC-C, TPNC4, CANB, CG31345, TPNC41C, FIM, CG17765, CG4662, SCP1"	914	56	4557	2.047729759	0.234470042	0.234470042	0.931319642
INTERPRO	"IPR018247:EF-Hand 1, calcium-binding site"	27	0.060797118	7.00E-04	"MLC2, SCF, CG7646, ELM, CG5890, SQH, EIP63F-1, CG10126, TPNC73F, GCS2BETA, CG17271, ACTN, MIRO, PAST1, MANF, TPNC47D, CALPA, MLC-C, TPNC4, CANB, TPNC41C, CG31345, FKBP14, FIM, CG17765, SCP1, CG4662"	1985	68	9553	1.910883094	0.798097938	0.273846975	1.215627743
KEGG_PATHWAY	dme03060:Protein export	13	0.029272686	9.63E-04	"SRP14, SRP68, SPASE25, SPASE12, SEC61ALPHA, SEC63, SEC61BETA, SPASE22-23, GTP-BP, CG8860, TWR, SEC61GAMMA, SRP72"	538	22	2402	2.638222372	0.110093336	0.01159611	1.102100628
UP_SEQ_FEATURE	domain:EF-hand 2	13	0.029272686	9.84E-04	"MLC2, MLC1, SQH, EIP63F-1, ARALAR1, TPNC73F, ACTN, MIRO, TPNC47D, CALPA, MLC-C, CANB, TPNC41C"	561	24	2782	2.686125966	0.723156727	0.723156727	1.59584358
UP_SEQ_FEATURE	domain:EF-hand 1	13	0.029272686	9.84E-04	"MLC2, MLC1, SQH, EIP63F-1, ARALAR1, TPNC73F, ACTN, MIRO, TPNC47D, CALPA, MLC-C, CANB, TPNC41C"	561	24	2782	2.686125966	0.723156727	0.723156727	1.59584358
KEGG_PATHWAY	dme00030:Pentose phosphate pathway	11	0.024769196	0.00119995	"CG17333, CG8525, PGD, PMM45A, CG8036, PGI, FBP, CG6767, PFK, PGM, TALDO"	538	17	2402	2.888913186	0.135220904	0.013120546	1.370876262
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	56	0.126097726	0.001419233	"CG5346, CG31810, CG30491, CYP28D1, CG10962, CG9436, SARDH, CG10863, SODH-2, SODH-1, CYP309A2, CYP309A1, CG40486, PPO3, CG4199, ND-24, CG5321, CG6144, DHPR, CYP6W1, CG17807, CG10638, CG7460, GMER, CG18003, CG3842, CG3609, CG9514, CG15717, NEMY, CYP6V1, CG8888, CG9521, CG9360, CG3603, CG12171, CYP6A22, CG6083, CYP6A20, CG12224, CG6084, CG7322, CG31809, CG31548, ALDH-III, CG1275, CG10561, CG18547, CG5167, CYP6A17, CG10814, CG2604, ZETACOP, CG17121, DRAT, CG13284"	1643	179	7786	1.482558476	0.785824911	0.537209454	2.241757231
INTERPRO	IPR001806:Small GTPase superfamily	23	0.051790137	0.001524006	"RHOL, CG8500, RABX5, RAB6, RAS64B, CENG1A, RGK1, CG14669, CG5160, RIC, CG8519, RHOBTB, RGK2, RAB8, MIRO, RAB7, RAB2, RAB14, RAB23, RHEB, CG30158, RAB26, RAB11"	1985	57	9553	1.94192408	0.969299745	0.440426683	2.627758917
INTERPRO	IPR015424:Pyridoxal phosphate-dependent transferase	16	0.036027922	0.001795499	"CG1486, CG1640, CG1427, QTZL, CG10184, SPT-I, CG10361, GOT2, CG11899, CG12264, GOT1, CG6321, GAD1, CG3999, CG8745, CG5618"	1985	34	9553	2.264750333	0.983503468	0.44365805	3.088993473
COG_ONTOLOGY	"Posttranslational modification, protein turnover, chaperones"	42	0.094573294	0.001874654	"CG14523, PRX6005, GDAP1, BETAGGT-II, NMD, PRX2540-1, PRX2540-2, FNTA, CG11695, CG12264, GSTO2, CG14528, CG14529, CG14526, GSTE14, GSTD8, CG14527, GSTO3, GSTT4, GSTE13, NEP5, CG10375, CG9505, CG12896, CG5527, NEP1, MEC2, ABCB7, NEP3, ALIEN, CG11899, RPT5, CG5001, GSTE3, USP47, GSTE7, DGRN, KAH, JAFRAC2, GSTE6, GSTE5, CG12007"	255	125	1160	1.528470588	0.068820971	0.068820971	1.681482861
GOTERM_MF_DIRECT	GO:0004222~metalloendopeptidase activity	26	0.058545373	0.002099051	"CG14523, LOH, CG6512, UQCR-C2, UQCR-C1, PPN, CG14528, CG14529, CG14526, TLD, CG14527, CG8728, CG11771, CG7631, NEP5, CG9505, CG5527, NEP1, STE24B, NEP3, CG13283, CG8550, CG7791, TACE, TOK, INVADOLYSIN"	1643	68	7786	1.811929397	0.89770188	0.532312369	3.298800462
UP_SEQ_FEATURE	signal peptide	97	0.218419275	0.002324938	"STIM, ILP5, SPI, IM18, OST48, WBL, PVF1, LCP65AG2, DSCAM2, LCP65AG1, AMY-D, IM4, NACHRALPHA2, TOTX, WNT2, WNT4, SPZ, SNPF, AMY-P, DNT, DRO, TREH, TLD, FUR2, DRS, CG32750, NPLP1, NACHRBETA2, JON99CI, NPLP3, DOP1R1, DH31, LSP1ALPHA, NPLP4, FBP1, LCCH3, LYSX, CG2650, OCT-TYRR, HIG, CON, EST-6, SMO, PGRP-SB1, TACE, FAS3, TIMP, GRK, EH, APPL, WSCK, ETATRY, YP1, YP2, CDASE, CAD89D, FMRFA, UZIP, PPT2, IHOG, CALR, PXN, MANF, AOS, LIP1, BOSS, PGRP-SD, DPP, PPN, CG1552, HFW, GBB, ANCE, SCB, CADN2, EDG91, PDI, NPF, LANB1, TSL, OBP83B, ALP4, DRL, CAPA, HTL, CUE, GLURIA, LSP2, BOCA, IDGF4, HUG, PGRP-SC1A, PGRP-SC1B, TEP2, NPC2A, MTHL8, AMYREL"	561	371	2782	1.296558418	0.951937292	0.780767913	3.730575203
