Category	Term	Count	Percent	PValue	Genes	ListTotal	PopHits	PopTotal	FoldEnrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Monooxygenase	26	2.683178535	1.30E-08	"FBGN0050489, FBGN0003312, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0000449, FBGN0033079, FBGN0039006, FBGN0031126, FBGN0010383, FBGN0031726, FBGN0015038, FBGN0015037, FBGN0031689, FBGN0015032, FBGN0034756, FBGN0041337, FBGN0030367, FBGN0025454, FBGN0001208, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0003388, FBGN0015040, FBGN0013773"	942	102	13837	3.744244619	3.33E-06	6.66E-07	1.70E-05
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	38	3.921568627	3.47E-08	"FBGN0031418, FBGN0032614, FBGN0033204, FBGN0037057, FBGN0031417, FBGN0033205, FBGN0000406, FBGN0030575, FBGN0000473, FBGN0033101, FBGN0033304, FBGN0029648, FBGN0032615, FBGN0039040, FBGN0061356, FBGN0030451, FBGN0038795, FBGN0039304, FBGN0039006, FBGN0031126, FBGN0037354, FBGN0038878, FBGN0052068, FBGN0015038, FBGN0086254, FBGN0031689, FBGN0041337, FBGN0025628, FBGN0034756, FBGN0030968, FBGN0037973, FBGN0025456, FBGN0037975, FBGN0025454, FBGN0033065, FBGN0015040, FBGN0038610, FBGN0013773"	672	192	9200	2.709573413	2.29E-05	1.14E-05	5.19E-05
INTERPRO	"IPR017972:Cytochrome P450, conserved site"	23	2.373581011	3.75E-08	"FBGN0015038, FBGN0015037, FBGN0050489, FBGN0031689, FBGN0015032, FBGN0034756, FBGN0041337, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0000449, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0039006, FBGN0031126, FBGN0003388, FBGN0015040, FBGN0010383, FBGN0031726, FBGN0013773"	801	80	10906	3.914450687	4.70E-05	2.35E-05	6.10E-05
GOTERM_MF_DIRECT	GO:0020037~heme binding	30	3.095975232	3.91E-08	"FBGN0011676, FBGN0050489, FBGN0000406, FBGN0003312, FBGN0000473, FBGN0053503, FBGN0033304, FBGN0000449, FBGN0087002, FBGN0039006, FBGN0031126, FBGN0010383, FBGN0031726, FBGN0015038, FBGN0015037, FBGN0031689, FBGN0015032, FBGN0041337, FBGN0034756, FBGN0030966, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0003965, FBGN0003388, FBGN0015040, FBGN0027657, FBGN0013773"	672	130	9200	3.159340659	2.58E-05	8.58E-06	5.85E-05
INTERPRO	IPR001128:Cytochrome P450	24	2.476780186	5.23E-08	"FBGN0015038, FBGN0015037, FBGN0050489, FBGN0031689, FBGN0015032, FBGN0003312, FBGN0034756, FBGN0041337, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0000449, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0039006, FBGN0031126, FBGN0003388, FBGN0015040, FBGN0010383, FBGN0031726, FBGN0013773"	801	88	10906	3.713312904	6.55E-05	2.18E-05	8.50E-05
UP_KEYWORDS	Endoplasmic reticulum	35	3.611971104	5.82E-08	"FBGN0037110, FBGN0000473, FBGN0033304, FBGN0025615, FBGN0037612, FBGN0053303, FBGN0004003, FBGN0038947, FBGN0015623, FBGN0039006, FBGN0032799, FBGN0031126, FBGN0010383, FBGN0003292, FBGN0014002, FBGN0015038, FBGN0015037, FBGN0011016, FBGN0031689, FBGN0015032, FBGN0041337, FBGN0029906, FBGN0034756, FBGN0261020, FBGN0004797, FBGN0030367, FBGN0041191, FBGN0025454, FBGN0053113, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0030306, FBGN0015040, FBGN0013773"	942	182	13837	2.824799935	1.49E-05	2.48E-06	7.59E-05
GOTERM_MF_DIRECT	"GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	24	2.476780186	8.94E-08	"FBGN0015038, FBGN0015037, FBGN0036147, FBGN0050489, FBGN0031689, FBGN0015032, FBGN0003312, FBGN0034756, FBGN0041337, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0000449, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0039006, FBGN0031126, FBGN0015040, FBGN0010383, FBGN0031726, FBGN0013773"	672	91	9200	3.610675039	5.88E-05	1.47E-05	1.34E-04
INTERPRO	"IPR002401:Cytochrome P450, E-class, group I"	22	2.270381837	8.96E-08	"FBGN0015037, FBGN0050489, FBGN0031689, FBGN0015032, FBGN0003312, FBGN0034756, FBGN0041337, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0000449, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0039006, FBGN0031126, FBGN0003388, FBGN0015040, FBGN0010383, FBGN0013773"	801	77	10906	3.890137328	1.12E-04	2.80E-05	1.46E-04
GOTERM_CC_DIRECT	GO:0005811~lipid particle	44	4.540763674	1.23E-07	"FBGN0032287, FBGN0000042, FBGN0000406, FBGN0015575, FBGN0039114, FBGN0033246, FBGN0015570, FBGN0283494, FBGN0035090, FBGN0028646, FBGN0021795, FBGN0038947, FBGN0087002, FBGN0020385, FBGN0022160, FBGN0015623, FBGN0266369, FBGN0030607, FBGN0032773, FBGN0004047, FBGN0086687, FBGN0042627, FBGN0039674, FBGN0014002, FBGN0010551, FBGN0029118, FBGN0259682, FBGN0001125, FBGN0000055, FBGN0011016, FBGN0034390, FBGN0027560, FBGN0037607, FBGN0037146, FBGN0025700, FBGN0020236, FBGN0014031, FBGN0033446, FBGN0053113, FBGN0001208, FBGN0005670, FBGN0002565, FBGN0002031, FBGN0035401"	670	273	9939	2.390880761	3.20E-05	3.20E-05	1.61E-04
GOTERM_CC_DIRECT	GO:0005576~extracellular region	70	7.223942208	3.38E-07	"FBGN0036299, FBGN0035806, FBGN0038257, FBGN0040736, FBGN0034788, FBGN0043578, FBGN0016675, FBGN0031412, FBGN0011770, FBGN0087002, FBGN0033320, FBGN0004047, FBGN0033170, FBGN0039022, FBGN0041579, FBGN0028526, FBGN0040321, FBGN0010403, FBGN0025583, FBGN0004569, FBGN0034229, FBGN0039678, FBGN0022355, FBGN0283461, FBGN0036970, FBGN0038126, FBGN0039102, FBGN0031110, FBGN0030051, FBGN0020414, FBGN0030926, FBGN0020415, FBGN0020416, FBGN0030251, FBGN0026721, FBGN0063923, FBGN0044050, FBGN0034030, FBGN0034200, FBGN0023479, FBGN0028542, FBGN0040717, FBGN0028543, FBGN0064237, FBGN0054003, FBGN0016122, FBGN0044812, FBGN0029720, FBGN0001112, FBGN0032773, FBGN0040813, FBGN0046876, FBGN0030985, FBGN0039801, FBGN0038105, FBGN0035932, FBGN0031959, FBGN0046878, FBGN0250862, FBGN0067903, FBGN0032029, FBGN0004240, FBGN0030562, FBGN0039472, FBGN0010225, FBGN0261341, FBGN0032889, FBGN0039682, FBGN0039800, FBGN0031850"	670	554	9939	1.874373619	8.78E-05	4.39E-05	4.41E-04
KEGG_PATHWAY	dme00670:One carbon pool by folate	9	0.92879257	1.51E-06	"FBGN0010222, FBGN0029823, FBGN0000053, FBGN0032945, FBGN0032287, FBGN0020385, FBGN0036157, FBGN0085453, FBGN0039241"	249	12	2727	8.213855422	1.55E-04	5.17E-05	0.001681092
UP_KEYWORDS	Secreted	43	4.437564499	1.63E-06	"FBGN0044050, FBGN0035806, FBGN0040736, FBGN0040717, FBGN0043578, FBGN0001114, FBGN0064237, FBGN0016122, FBGN0044812, FBGN0029720, FBGN0087002, FBGN0001112, FBGN0040813, FBGN0004047, FBGN0033170, FBGN0041579, FBGN0040321, FBGN0010403, FBGN0025583, FBGN0004569, FBGN0010385, FBGN0039678, FBGN0283461, FBGN0038105, FBGN0028988, FBGN0250862, FBGN0067903, FBGN0032029, FBGN0262057, FBGN0028396, FBGN0004240, FBGN0039472, FBGN0038147, FBGN0011722, FBGN0010225, FBGN0038199, FBGN0020414, FBGN0030926, FBGN0020415, FBGN0002565, FBGN0030251, FBGN0020416, FBGN0030828"	942	285	13837	2.216229001	4.18E-04	5.97E-05	0.002130164
UP_KEYWORDS	Aminotransferase	9	0.92879257	1.86E-06	"FBGN0014031, FBGN0014427, FBGN0032287, FBGN0001125, FBGN0037186, FBGN0036927, FBGN0001124, FBGN0036381, FBGN0022774"	942	15	13837	8.813375796	4.76E-04	5.95E-05	0.002423984
GOTERM_CC_DIRECT	GO:0031090~organelle membrane	19	1.960784314	3.61E-06	"FBGN0015038, FBGN0015037, FBGN0031689, FBGN0015032, FBGN0034756, FBGN0041337, FBGN0000473, FBGN0033304, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0039006, FBGN0031126, FBGN0030306, FBGN0015040, FBGN0010383, FBGN0013773"	670	79	9939	3.567749858	9.38E-04	3.13E-04	0.004719164
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	21	2.167182663	3.74E-06	"FBGN0015038, FBGN0015037, FBGN0050489, FBGN0031689, FBGN0015032, FBGN0034756, FBGN0041337, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0033079, FBGN0011576, FBGN0005670, FBGN0039006, FBGN0031126, FBGN0015040, FBGN0031726, FBGN0013773"	672	88	9200	3.267045455	0.002455413	4.92E-04	0.005587614
COG_ONTOLOGY	"Secondary metabolites biosynthesis, transport, and catabolism"	24	2.476780186	4.08E-06	"FBGN0015038, FBGN0015037, FBGN0050489, FBGN0031689, FBGN0015032, FBGN0003312, FBGN0034756, FBGN0041337, FBGN0000473, FBGN0033304, FBGN0053503, FBGN0000449, FBGN0030367, FBGN0038858, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0039006, FBGN0031126, FBGN0003388, FBGN0015040, FBGN0010383, FBGN0013773"	119	91	1234	2.734878567	1.02E-04	1.02E-04	0.003309757
UP_KEYWORDS	Microsome	19	1.960784314	4.32E-06	"FBGN0015038, FBGN0015037, FBGN0031689, FBGN0015032, FBGN0034756, FBGN0041337, FBGN0000473, FBGN0033304, FBGN0030367, FBGN0025454, FBGN0033065, FBGN0011576, FBGN0005670, FBGN0039006, FBGN0031126, FBGN0030306, FBGN0015040, FBGN0010383, FBGN0013773"	942	79	13837	3.532787766	0.001105421	1.23E-04	0.005633445
GOTERM_BP_DIRECT	GO:0009617~response to bacterium	14	1.444788442	9.74E-06	"FBGN0283461, FBGN0039593, FBGN0040736, FBGN0067903, FBGN0028396, FBGN0004240, FBGN0044812, FBGN0037433, FBGN0031561, FBGN0004047, FBGN0041579, FBGN0025583, FBGN0010385, FBGN0035976"	726	45	10147	4.348270585	0.01187164	0.005953543	0.015788993
KEGG_PATHWAY	"dme00260:Glycine, serine and threonine metabolism"	12	1.238390093	9.88E-06	"FBGN0014031, FBGN0029823, FBGN0037801, FBGN0037684, FBGN0014427, FBGN0032287, FBGN0032350, FBGN0001112, FBGN0036857, FBGN0037186, FBGN0027945, FBGN0031860"	249	27	2727	4.86746988	0.001017214	2.54E-04	0.011027552
INTERPRO	IPR002347:Glucose/ribitol dehydrogenase	16	1.651186791	1.00E-05	"FBGN0036620, FBGN0033204, FBGN0032614, FBGN0034500, FBGN0000055, FBGN0033205, FBGN0030968, FBGN0029648, FBGN0032615, FBGN0039040, FBGN0030041, FBGN0039304, FBGN0040349, FBGN0037354, FBGN0038610, FBGN0038878"	801	57	10906	3.821889305	0.012485218	0.002509608	0.016318978
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	22	2.270381837	1.14E-05	"FBGN0035266, FBGN0023477, FBGN0033377, FBGN0028540, FBGN0034417, FBGN0036144, FBGN0000057, FBGN0030239, FBGN0064237, FBGN0270927, FBGN0261575, FBGN0010222, FBGN0041191, FBGN0014417, FBGN0261341, FBGN0035484, FBGN0020414, FBGN0051414, FBGN0020415, FBGN0040321, FBGN0020416, FBGN0032382"	726	104	10147	2.956585082	0.013903858	0.004656266	0.018510544
UP_KEYWORDS	One-carbon metabolism	7	0.722394221	1.61E-05	"FBGN0010222, FBGN0029823, FBGN0032945, FBGN0014455, FBGN0020385, FBGN0030407, FBGN0005278"	942	10	13837	10.28227176	0.004119934	4.13E-04	0.021026117
INTERPRO	IPR013172:Immune-induced protein Dim	7	0.722394221	2.49E-05	"FBGN0040734, FBGN0040733, FBGN0040736, FBGN0040735, FBGN0025583, FBGN0034331, FBGN0034330"	801	10	10906	9.530836454	0.030616767	0.005169136	0.04038437
KEGG_PATHWAY	dme01230:Biosynthesis of amino acids	18	1.857585139	3.18E-05	"FBGN0023477, FBGN0037684, FBGN0001125, FBGN0038516, FBGN0036857, FBGN0032076, FBGN0037607, FBGN0037146, FBGN0005278, FBGN0029823, FBGN0001208, FBGN0014427, FBGN0032350, FBGN0036030, FBGN0023535, FBGN0037818, FBGN0001124, FBGN0024957"	249	64	2727	3.080195783	0.003269125	6.55E-04	0.03547603
