ID	Gene Name	Species
FBgn0025456	Cellular Repressor of E1A-stimulated Genes(CREG)	Drosophila melanogaster	
FBgn0015623	Cytochrome P450 reductase(Cpr)	Drosophila melanogaster	
FBgn0010383	Cytochrome P450-18a1(Cyp18a1)	Drosophila melanogaster	
FBgn0015032	Cytochrome P450-4c3(Cyp4c3)	Drosophila melanogaster	
FBgn0005670	Cytochrome P450-4d1(Cyp4d1)	Drosophila melanogaster	
FBgn0011576	Cytochrome P450-4d2(Cyp4d2)	Drosophila melanogaster	
FBgn0015037	Cytochrome P450-4p1(Cyp4p1)	Drosophila melanogaster	
FBgn0000473	Cytochrome P450-6a2(Cyp6a2)	Drosophila melanogaster	
FBgn0015038	Cytochrome P450-9b1(Cyp9b1)	Drosophila melanogaster	
FBgn0015040	Cytochrome P450-9c1(Cyp9c1)	Drosophila melanogaster	
FBgn0000406	Cytochrome b5-related(Cyt-b5-r)	Drosophila melanogaster	
FBgn0086687	Desaturase 1(Desat1)	Drosophila melanogaster	
FBgn0042627	Fatty acid synthase 2(FASN2)	Drosophila melanogaster	
FBgn0033079	Flavin-containing monooxygenase 2(Fmo-2)	Drosophila melanogaster	
FBgn0039099	Gamma-interferon-inducible lysosomal thiol reductase 2(GILT2)	Drosophila melanogaster	
FBgn0001112	Glucose dehydrogenase(Gld)	Drosophila melanogaster	
FBgn0022160	Glycerophosphate oxidase-1(Gpo-1)	Drosophila melanogaster	
FBgn0001208	Henna(Hn)	Drosophila melanogaster	
FBgn0029155	Malic enzyme b(Men-b)	Drosophila melanogaster	
FBgn0010222	NAD-dependent methylenetetrahydrofolate dehydrogenase(Nmdmc)	Drosophila melanogaster	
FBgn0011676	Nitric oxide synthase(Nos)	Drosophila melanogaster	
FBgn0038519	Peroxiredoxin 3(Prx3)	Drosophila melanogaster	
FBgn0031479	Peroxiredoxin 6005(Prx6005)	Drosophila melanogaster	
FBgn0038516	Pyrroline-5-carboxylate reductase-like 2(P5cr-2)	Drosophila melanogaster	
FBgn0000449	disembodied(dib)	Drosophila melanogaster	
FBgn0036147	procollagen lysyl hydroxylase(Plod)	Drosophila melanogaster	
FBgn0020385	pugilist(pug)	Drosophila melanogaster	
FBgn0003204	raspberry(ras)	Drosophila melanogaster	
FBgn0003308	rosy(ry)	Drosophila melanogaster	
FBgn0003388	shade(shd)	Drosophila melanogaster	
FBgn0003312	shadow(sad)	Drosophila melanogaster	
FBgn0003423	sluggish A(slgA)	Drosophila melanogaster	
FBgn0086450	suppressor of rudimentary(su(r))	Drosophila melanogaster	
FBgn0003965	vermilion(v)	Drosophila melanogaster	
