From,To,Species,Gene Name
FBgn0031816,33901,Drosophila melanogaster,CG16947 gene product from transcript CG16947-RA(CG16947)
FBgn0265253,19835779,Drosophila melanogaster,ncRNA(CR44267)
FBgn0030737,32592,Drosophila melanogaster,CG9914 gene product from transcript CG9914-RB(CG9914)
FBgn0051091,318591,Drosophila melanogaster,CG31091 gene product from transcript CG31091-RC(CG31091)
FBgn0034407,37184,Drosophila melanogaster,Diptericin B(DptB)
FBgn0031428,33431,Drosophila melanogaster,CG9886 gene product from transcript CG9886-RB(CG9886)
FBgn0037779,41229,Drosophila melanogaster,CG12811 gene product from transcript CG12811-RA(CG12811)
FBgn0020503,35042,Drosophila melanogaster,Cytoplasmic linker protein 190(CLIP-190)
FBgn0261983,34543,Drosophila melanogaster,lethal (2) giant discs 1(l(2)gd1)
FBgn0037163,40468,Drosophila melanogaster,lazaro(laza)
FBgn0040735,50208,Drosophila melanogaster,CG16836 gene product from transcript CG16836-RA(CG16836)
FBgn0040736,50209,Drosophila melanogaster,Immune induced molecule 3(IM3)
FBgn0040733,50206,Drosophila melanogaster,CG15068 gene product from transcript CG15068-RA(CG15068)
FBgn0030425,32234,Drosophila melanogaster,CG3775 gene product from transcript CG3775-RA(CG3775)
FBgn0029892,31608,Drosophila melanogaster,CG3184 gene product from transcript CG3184-RA(CG3184)
FBgn0040734,50207,Drosophila melanogaster,CG15065 gene product from transcript CG15065-RA(CG15065)
FBgn0030421,32230,Drosophila melanogaster,CG3812 gene product from transcript CG3812-RB(CG3812)
FBgn0038610,42211,Drosophila melanogaster,CG7675 gene product from transcript CG7675-RC(CG7675)
FBgn0025700,34314,Drosophila melanogaster,CG5885 gene product from transcript CG5885-RB(CG5885)
FBgn0033815,36465,Drosophila melanogaster,CG4676 gene product from transcript CG4676-RA(CG4676)
FBgn0003941,33629,Drosophila melanogaster,Ribosomal protein L40(RpL40)
FBgn0040732,50205,Drosophila melanogaster,CG16926 gene product from transcript CG16926-RB(CG16926)
FBgn0003944,42034,Drosophila melanogaster,Ultrabithorax(Ubx)
FBgn0063923,3772691,Drosophila melanogaster,CG1220 gene product from transcript CG1220-RE(Kaz1-ORFB)
FBgn0030746,32609,Drosophila melanogaster,CG9981 gene product from transcript CG9981-RC(CG9981)
FBgn0031437,33444,Drosophila melanogaster,"Actin-related protein 2/3 complex, subunit 5(Arpc5)"
FBgn0011824,37397,Drosophila melanogaster,CG4038 gene product from transcript CG4038-RA(CG4038)
FBgn0021795,45680,Drosophila melanogaster,Translocon-associated protein delta(Tapdelta)
FBgn0262838,12798334,Drosophila melanogaster,CG43202 gene product from transcript CG43202-RA(CG43202)
FBgn0030742,32598,Drosophila melanogaster,CG9919 gene product from transcript CG9919-RB(CG9919)
FBgn0002565,45326,Drosophila melanogaster,Larval serum protein 2(Lsp2)
FBgn0004050,31230,Drosophila melanogaster,zeste(z)
FBgn0051089,43135,Drosophila melanogaster,CG31089 gene product from transcript CG31089-RA(CG31089)
FBgn0040028,49952,Drosophila melanogaster,CG17450 gene product from transcript CG17450-RC(CG17450)
FBgn0000551,40354,Drosophila melanogaster,Ecdysone-dependent gene 78E(Edg78E)
FBgn0262866,33139,Drosophila melanogaster,Ribosomal protein S6 kinase II(S6kII)
FBgn0030926,32832,Drosophila melanogaster,persephone(psh)
FBgn0050489,246648,Drosophila melanogaster,CG30489 gene product from transcript CG30489-RB(Cyp12d1-p)
FBgn0037553,40964,Drosophila melanogaster,CG18249 gene product from transcript CG18249-RB(CG18249)
FBgn0267507,26067175,Drosophila melanogaster,ribosomal RNA primary transcript:CR45847(pre-rRNA:CR45847)
FBgn0040717,50190,Drosophila melanogaster,Neuropeptide-like precursor 4(Nplp4)
FBgn0030511,32327,Drosophila melanogaster,CG11158 gene product from transcript CG11158-RA(CG11158)
FBgn0261722,39720,Drosophila melanogaster,flower(fwe)
FBgn0023197,39959,Drosophila melanogaster,Jonah 74E(Jon74E)
FBgn0004047,32339,Drosophila melanogaster,Yolk protein 3(Yp3)
FBgn0030518,32334,Drosophila melanogaster,CG11134 gene product from transcript CG11134-RB(CG11134)
FBgn0031689,33749,Drosophila melanogaster,CG10833 gene product from transcript CG10833-RA(Cyp28d1)
FBgn0030407,32212,Drosophila melanogaster,CG2543 gene product from transcript CG2543-RA(CG2543)
FBgn0003965,32026,Drosophila melanogaster,vermilion(v)
FBgn0034420,37202,Drosophila melanogaster,CG10737 gene product from transcript CG10737-RS(CG10737)
FBgn0037146,40443,Drosophila melanogaster,CG7470 gene product from transcript CG7470-RB(CG7470)
FBgn0034417,37197,Drosophila melanogaster,CG15117 gene product from transcript CG15117-RA(CG15117)
FBgn0038603,42203,Drosophila melanogaster,Protein Kinase D(PKD)
FBgn0037354,40690,Drosophila melanogaster,CG12171 gene product from transcript CG12171-RA(CG12171)
FBgn0031412,33413,Drosophila melanogaster,CG16995 gene product from transcript CG16995-RA(CG16995)
FBgn0038606,42206,Drosophila melanogaster,CG15803 gene product from transcript CG15803-RB(CG15803)
FBgn0266369,35362,Drosophila melanogaster,Microsomal triacylglycerol transfer protein(Mtp)
FBgn0031289,33267,Drosophila melanogaster,CG13950 gene product from transcript CG13950-RA(CG13950)
FBgn0037749,41197,Drosophila melanogaster,CG9471 gene product from transcript CG9471-RA(CG9471)
FBgn0031418,33421,Drosophila melanogaster,CG3609 gene product from transcript CG3609-RA(CG3609)
FBgn0031417,33420,Drosophila melanogaster,CG3597 gene product from transcript CG3597-RA(CG3597)
FBgn0266361,19835306,Drosophila melanogaster,ncRNA(CR45009)
FBgn0030521,32341,Drosophila melanogaster,Cathepsin B1(CtsB1)
FBgn0030520,32337,Drosophila melanogaster,Programmed cell death 4 ortholog(Pdcd4)
FBgn0029629,31243,Drosophila melanogaster,eIF3g paralogue a(eIF3ga)
FBgn0050466,246629,Drosophila melanogaster,CG30466 gene product from transcript CG30466-RB(CG30466)
FBgn0039911,43800,Drosophila melanogaster,CG1909 gene product from transcript CG1909-RA(CG1909)
FBgn0032322,34517,Drosophila melanogaster,CG16743 gene product from transcript CG16743-RB(CG16743)
FBgn0030773,32647,Drosophila melanogaster,CG9676 gene product from transcript CG9676-RA(CG9676)
FBgn0058006,3355123,Drosophila melanogaster,CG40006 gene product from transcript CG40006-RA(CG40006)
FBgn0260388,8674108,Drosophila melanogaster,CG42514 gene product from transcript CG42514-RB(CG42514)
FBgn0024983,31001,Drosophila melanogaster,CG4293 gene product from transcript CG4293-RD(CG4293)
FBgn0036500,39669,Drosophila melanogaster,CG7275 gene product from transcript CG7275-RA(CG7275)
FBgn0002590,32700,Drosophila melanogaster,Ribosomal protein S5a(RpS5a)
FBgn0031275,33248,Drosophila melanogaster,metabotropic GABA-B receptor subtype 3(GABA-B-R3)
FBgn0003334,41168,Drosophila melanogaster,Sex comb on midleg(Scm)
FBgn0011676,34495,Drosophila melanogaster,Nitric oxide synthase(Nos)
FBgn0039900,43783,Drosophila melanogaster,Synaptotagmin 7(Syt7)
FBgn0031065,32988,Drosophila melanogaster,CG14234 gene product from transcript CG14234-RA(CG14234)
FBgn0012034,40348,Drosophila melanogaster,Acetyl Coenzyme A synthase(AcCoAS)
FBgn0034433,37218,Drosophila melanogaster,Endophilin B(EndoB)
FBgn0040985,50459,Drosophila melanogaster,CG6115 gene product from transcript CG6115-RB(CG6115)
FBgn0031479,33493,Drosophila melanogaster,Peroxiredoxin 6005(Prx6005)
FBgn0036891,40137,Drosophila melanogaster,CG9372 gene product from transcript CG9372-RA(CG9372)
FBgn0028480,31965,Drosophila melanogaster,CG17841 gene product from transcript CG17841-RA(CG17841)
FBgn0038662,42268,Drosophila melanogaster,Mitochondrial pyruvate carrier(Mpc1)
FBgn0034638,37458,Drosophila melanogaster,CG10433 gene product from transcript CG10433-RC(CG10433)
FBgn0029648,31289,Drosophila melanogaster,CG3603 gene product from transcript CG3603-RB(CG3603)
FBgn0041579,36484,Drosophila melanogaster,Attacin-C(AttC)
FBgn0030502,32318,Drosophila melanogaster,toothrin(tth)
FBgn0031052,32971,Drosophila melanogaster,CG14215 gene product from transcript CG14215-RA(CG14215)
FBgn0031449,326154,Drosophila melanogaster,CG31689 gene product from transcript CG31689-RH(CG31689)
FBgn0044050,39151,Drosophila melanogaster,Insulin-like peptide 3(Ilp3)
FBgn0037387,40728,Drosophila melanogaster,CG1213 gene product from transcript CG1213-RB(CG1213)
FBgn0264908,39730,Drosophila melanogaster,CG44099 gene product from transcript CG44099-RL(pHCl)
FBgn0037109,40403,Drosophila melanogaster,Mediator complex subunit 1(MED1)
FBgn0037386,40727,Drosophila melanogaster,CG1208 gene product from transcript CG1208-RB(CG1208)
FBgn0037107,40401,Drosophila melanogaster,CG7166 gene product from transcript CG7166-RB(CG7166)
FBgn0030757,32622,Drosophila melanogaster,CG9902 gene product from transcript CG9902-RB(CG9902)
FBgn0041194,38753,Drosophila melanogaster,Phosphoribosylamidotransferase 2(Prat2)
FBgn0003116,31194,Drosophila melanogaster,prune(pn)
FBgn0002775,38779,Drosophila melanogaster,male-specific lethal 3(msl-3)
FBgn0041191,117332,Drosophila melanogaster,Ras homolog enriched in brain ortholog (H. sapiens)(Rheb)
FBgn0037102,40395,Drosophila melanogaster,CR6-interacting factor(CRIF)
FBgn0031250,33207,Drosophila melanogaster,Equilibrative nucleoside transporter 1(Ent1)
FBgn0037513,40916,Drosophila melanogaster,CG3027 gene product from transcript CG3027-RA(pyd3)
FBgn0037519,40922,Drosophila melanogaster,CG3014 gene product from transcript CG3014-RC(CG3014)
FBgn0003308,41605,Drosophila melanogaster,rosy(ry)
FBgn0039102,42791,Drosophila melanogaster,Spatzle-Processing Enzyme(SPE)
FBgn0266311,19834890,Drosophila melanogaster,ncRNA(CR44976)
FBgn0030766,32637,Drosophila melanogaster,methuselah-like 1(mthl1)
FBgn0261975,10178814,Drosophila melanogaster,CG42806 gene product from transcript CG42806-RB(CG42806)
FBgn0030763,32632,Drosophila melanogaster,CG9782 gene product from transcript CG9782-RA(CG9782)
FBgn0259238,36205,Drosophila melanogaster,CG42336 gene product from transcript CG42336-RB(CG42336)
FBgn0050431,35549,Drosophila melanogaster,CG30431 gene product from transcript CG30431-RA(CG30431)
FBgn0003312,44858,Drosophila melanogaster,shadow(sad)
FBgn0037396,40741,Drosophila melanogaster,CG11459 gene product from transcript CG11459-RB(CG11459)
FBgn0002781,49228,Drosophila melanogaster,modifier of mdg4(mod(mdg4))
FBgn0050438,246614,Drosophila melanogaster,CG30438 gene product from transcript CG30438-RB(CG30438)
FBgn0024957,41269,Drosophila melanogaster,Iron regulatory protein 1B(Irp-1B)
FBgn0265266,12798257,Drosophila melanogaster,CG13639 gene product from transcript CG13639-RA(CG13639)
FBgn0034454,37248,Drosophila melanogaster,CG15120 gene product from transcript CG15120-RA(CG15120)
FBgn0037110,40404,Drosophila melanogaster,CG14577 gene product from transcript CG14577-RA(ORMDL)
FBgn0039509,43293,Drosophila melanogaster,CG3350 gene product from transcript CG3350-RA(bigmax)
FBgn0029864,31574,Drosophila melanogaster,CG15894 gene product from transcript CG15894-RB(CG15894)
FBgn0039118,42814,Drosophila melanogaster,CG10208 gene product from transcript CG10208-RA(CG10208)
FBgn0031240,33192,Drosophila melanogaster,CG3345 gene product from transcript CG3345-RA(CG3345)
FBgn0039115,42811,Drosophila melanogaster,CG10214 gene product from transcript CG10214-RA(CG10214)
FBgn0261020,34134,Drosophila melanogaster,wollknaeuel(wol)
FBgn0039113,42809,Drosophila melanogaster,CG10217 gene product from transcript CG10217-RB(CG10217)
FBgn0039114,42810,Drosophila melanogaster,Lipid storage droplet-1(Lsd-1)
FBgn0063499,37105,Drosophila melanogaster,Glutathione S transferase E10(GstE10)
FBgn0261261,40704,Drosophila melanogaster,pollux(plx)
FBgn0039010,42686,Drosophila melanogaster,CG4907 gene product from transcript CG4907-RA(CG4907)
FBgn0035082,37988,Drosophila melanogaster,CG2811 gene product from transcript CG2811-RB(CG2811)
FBgn0036857,40097,Drosophila melanogaster,CG9629 gene product from transcript CG9629-RA(CG9629)
FBgn0025595,33942,Drosophila melanogaster,Adipokinetic hormone receptor(AkhR)
FBgn0036144,39262,Drosophila melanogaster,CG6207 gene product from transcript CG6207-RE(GlcAT-P)
FBgn0265447,19834997,Drosophila melanogaster,ncRNA(CR44347)
FBgn0013813,43379,Drosophila melanogaster,Dynein heavy chain at 89D(Dhc98D)
FBgn0063493,37112,Drosophila melanogaster,Glutathione S transferase E7(GstE7)
FBgn0036147,39265,Drosophila melanogaster,procollagen lysyl hydroxylase(Plod)
FBgn0034479,37275,Drosophila melanogaster,CG8654 gene product from transcript CG8654-RC(CG8654)
FBgn0035282,38242,Drosophila melanogaster,CNMamide(CNMa)
FBgn0035283,38243,Drosophila melanogaster,CG12024 gene product from transcript CG12024-RA(CG12024)
FBgn0264834,14462345,Drosophila melanogaster,ncRNA(CR44042)
FBgn0035734,38772,Drosophila melanogaster,CG14823 gene product from transcript CG14823-RA(CG14823)
FBgn0035285,38246,Drosophila melanogaster,CG12025 gene product from transcript CG12025-RC(CG12025)
FBgn0061492,38698,Drosophila melanogaster,logjam(loj)
FBgn0046258,43328,Drosophila melanogaster,CG12880 gene product from transcript CG12880-RA(CG12880)
FBgn0039006,42682,Drosophila melanogaster,CG12800 gene product from transcript CG12800-RA(Cyp6d4)
FBgn0050008,246388,Drosophila melanogaster,CG30008 gene product from transcript CG30008-RA(CG30008)
FBgn0263390,42710,Drosophila melanogaster,Na[+]/H[+] hydrogen antiporter 2(Nha2)
FBgn0039757,43594,Drosophila melanogaster,Ribosomal protein S7(RpS7)
FBgn0035091,38000,Drosophila melanogaster,CG3829 gene product from transcript CG3829-RA(CG3829)
FBgn0035090,37998,Drosophila melanogaster,CG2736 gene product from transcript CG2736-RA(CG2736)
FBgn0025391,31129,Drosophila melanogaster,Sarcoglycan delta(Scgdelta)
FBgn0025583,49802,Drosophila melanogaster,Immune induced molecule 2(IM2)
FBgn0010383,32858,Drosophila melanogaster,Cytochrome P450-18a1(Cyp18a1)
FBgn0266702,19835585,Drosophila melanogaster,ncRNA(CR45192)
FBgn0034480,37276,Drosophila melanogaster,CG16898 gene product from transcript CG16898-RA(CG16898)
FBgn0010385,36047,Drosophila melanogaster,Defensin(Def)
FBgn0010387,38784,Drosophila melanogaster,Diazepam-binding inhibitor(Dbi)
FBgn0052726,318175,Drosophila melanogaster,CG32726 gene product from transcript CG32726-RA(CG32726)
FBgn0265457,19836209,Drosophila melanogaster,ncRNA(CR44357)
FBgn0036862,40102,Drosophila melanogaster,Glycogen binding subunit 76A(Gbs-76A)
FBgn0014931,40937,Drosophila melanogaster,CG2678 gene product from transcript CG2678-RB(CG2678)
FBgn0036547,39736,Drosophila melanogaster,CG17032 gene product from transcript CG17032-RA(CG17032)
FBgn0035298,38261,Drosophila melanogaster,Succinyl-CoA:3-ketoacid CoA transferase(SCOT)
FBgn0026616,41913,Drosophila melanogaster,alpha-Mannosidase class II b(alpha-Man-IIb)
FBgn0025777,33944,Drosophila melanogaster,CG11324 gene product from transcript CG11324-RD(homer)
FBgn0039031,42709,Drosophila melanogaster,CG17244 gene product from transcript CG17244-RB(CG17244)
FBgn0039030,42708,Drosophila melanogaster,CG6660 gene product from transcript CG6660-RA(CG6660)
FBgn0036875,40117,Drosophila melanogaster,CG9449 gene product from transcript CG9449-RH(CG9449)
FBgn0036165,39284,Drosophila melanogaster,charybde(chrb)
FBgn0050151,246484,Drosophila melanogaster,CG30151 gene product from transcript CG30151-RA(CG30151)
FBgn0036353,39501,Drosophila melanogaster,CG10171 gene product from transcript CG10171-RB(CG10171)
FBgn0034870,37720,Drosophila melanogaster,CG13559 gene product from transcript CG13559-RA(CG13559)
FBgn0035756,38801,Drosophila melanogaster,CG32381 gene product from transcript CG32381-RC(unc-13-4A)
FBgn0031726,19836250,Drosophila melanogaster,CG7249 gene product from transcript CG7249-RB(Cyp6a16)
FBgn0034887,37742,Drosophila melanogaster,Sulfotransferase 1(St1)
FBgn0034885,37739,Drosophila melanogaster,CG4019 gene product from transcript CG4019-RA(CG4019)
FBgn0039024,42701,Drosophila melanogaster,CG4721 gene product from transcript CG4721-RA(CG4721)
FBgn0030367,32170,Drosophila melanogaster,CG1488 gene product from transcript CG1488-RB(Cyp311a1)
FBgn0036369,39517,Drosophila melanogaster,CG10089 gene product from transcript CG10089-RE(CG10089)
FBgn0033756,36385,Drosophila melanogaster,CG17760 gene product from transcript CG17760-RB(CG17760)
FBgn0028988,49808,Drosophila melanogaster,Serpin 42Dd(Spn42Dd)
FBgn0039022,42699,Drosophila melanogaster,CG4725 gene product from transcript CG4725-RA(CG4725)
FBgn0036886,40128,Drosophila melanogaster,CG9300 gene product from transcript CG9300-RA(CG9300)
FBgn0036157,39276,Drosophila melanogaster,CG7560 gene product from transcript CG7560-RA(CG7560)
FBgn0027453,34503,Drosophila melanogaster,DNZDHHC/NEW1 zinc finger protein 11(Dnz1)
FBgn0030679,32516,Drosophila melanogaster,CG8206 gene product from transcript CG8206-RB(CG8206)
FBgn0028703,33939,Drosophila melanogaster,Na[+]/H[+] hydrogen exchanger 3(Nhe3)
FBgn0260795,39255,Drosophila melanogaster,Na[+]-dependent inorganic phosphate cotransporter type III(NaPi-III)
FBgn0086254,39304,Drosophila melanogaster,CG6084 gene product from transcript CG6084-RC(CG6084)
FBgn0026428,32461,Drosophila melanogaster,Histone deacetylase 6(HDAC6)
FBgn0044011,35639,Drosophila melanogaster,Serpin 43Ad(Spn43Ad)
FBgn0030678,32515,Drosophila melanogaster,CG11679 gene product from transcript CG11679-RA(CG11679)
FBgn0028916,34835,Drosophila melanogaster,CG33090 gene product from transcript CG33090-RE(CG33090)
FBgn0010747,38593,Drosophila melanogaster,Signal recognition particle protein 54k(Srp54k)
FBgn0036816,40049,Drosophila melanogaster,I'm not dead yet(Indy)
FBgn0035976,39063,Drosophila melanogaster,Peptidoglycan recognition protein LC(PGRP-LC)
