"","FC_DR_B.greater.p.geomean","FC_DR_B.greater.stat.mean","FC_DR_B.greater.p.val","FC_DR_B.greater.q.val","FC_DR_B.greater.set.size","FC_DR_B.greater.exp1","FC_DR_B.less.p.geomean","FC_DR_B.less.stat.mean","FC_DR_B.less.p.val","FC_DR_B.less.q.val","FC_DR_B.less.set.size","FC_DR_B.less.exp1","FC_DR_B.stats.stat.mean","FC_DR_B.stats.exp1","FC_DR_O.greater.p.geomean","FC_DR_O.greater.stat.mean","FC_DR_O.greater.p.val","FC_DR_O.greater.q.val","FC_DR_O.greater.set.size","FC_DR_O.greater.exp1","FC_DR_O.less.p.geomean","FC_DR_O.less.stat.mean","FC_DR_O.less.p.val","FC_DR_O.less.q.val","FC_DR_O.less.set.size","FC_DR_O.less.exp1","FC_DR_O.stats.stat.mean","FC_DR_O.stats.exp1","FC_DR_H.greater.p.geomean","FC_DR_H.greater.stat.mean","FC_DR_H.greater.p.val","FC_DR_H.greater.q.val","FC_DR_H.greater.set.size","FC_DR_H.greater.exp1","FC_DR_H.less.p.geomean","FC_DR_H.less.stat.mean","FC_DR_H.less.p.val","FC_DR_H.less.q.val","FC_DR_H.less.set.size","FC_DR_H.less.exp1","FC_DR_H.stats.stat.mean","FC_DR_H.stats.exp1","FC_HS_B.greater.p.geomean","FC_HS_B.greater.stat.mean","FC_HS_B.greater.p.val","FC_HS_B.greater.q.val","FC_HS_B.greater.set.size","FC_HS_B.greater.exp1","FC_HS_B.less.p.geomean","FC_HS_B.less.stat.mean","FC_HS_B.less.p.val","FC_HS_B.less.q.val","FC_HS_B.less.set.size","FC_HS_B.less.exp1","FC_HS_B.stats.stat.mean","FC_HS_B.stats.exp1","FC_HS_O.greater.p.geomean","FC_HS_O.greater.stat.mean","FC_HS_O.greater.p.val","FC_HS_O.greater.q.val","FC_HS_O.greater.set.size","FC_HS_O.greater.exp1","FC_HS_O.less.p.geomean","FC_HS_O.less.stat.mean","FC_HS_O.less.p.val","FC_HS_O.less.q.val","FC_HS_O.less.set.size","FC_HS_O.less.exp1","FC_HS_O.stats.stat.mean","FC_HS_O.stats.exp1","FC_HS_H.greater.p.geomean","FC_HS_H.greater.stat.mean","FC_HS_H.greater.p.val","FC_HS_H.greater.q.val","FC_HS_H.greater.set.size","FC_HS_H.greater.exp1","FC_HS_H.less.p.geomean","FC_HS_H.less.stat.mean","FC_HS_H.less.p.val","FC_HS_H.less.q.val","FC_HS_H.less.set.size","FC_HS_H.less.exp1","FC_HS_H.stats.stat.mean","FC_HS_H.stats.exp1","FC_DRHS_B.greater.p.geomean","FC_DRHS_B.greater.stat.mean","FC_DRHS_B.greater.p.val","FC_DRHS_B.greater.q.val","FC_DRHS_B.greater.set.size","FC_DRHS_B.greater.exp1","FC_DRHS_B.less.p.geomean","FC_DRHS_B.less.stat.mean","FC_DRHS_B.less.p.val","FC_DRHS_B.less.q.val","FC_DRHS_B.less.set.size","FC_DRHS_B.less.exp1","FC_DRHS_B.stats.stat.mean","FC_DRHS_B.stats.exp1","FC_DRHS_O.greater.p.geomean","FC_DRHS_O.greater.stat.mean","FC_DRHS_O.greater.p.val","FC_DRHS_O.greater.q.val","FC_DRHS_O.greater.set.size","FC_DRHS_O.greater.exp1","FC_DRHS_O.less.p.geomean","FC_DRHS_O.less.stat.mean","FC_DRHS_O.less.p.val","FC_DRHS_O.less.q.val","FC_DRHS_O.less.set.size","FC_DRHS_O.less.exp1","FC_DRHS_O.stats.stat.mean","FC_DRHS_O.stats.exp1","FC_DRHS_H.greater.p.geomean","FC_DRHS_H.greater.stat.mean","FC_DRHS_H.greater.p.val","FC_DRHS_H.greater.q.val","FC_DRHS_H.greater.set.size","FC_DRHS_H.greater.exp1","FC_DRHS_H.less.p.geomean","FC_DRHS_H.less.stat.mean","FC_DRHS_H.less.p.val","FC_DRHS_H.less.q.val","FC_DRHS_H.less.set.size","FC_DRHS_H.less.exp1","FC_DRHS_H.stats.stat.mean","FC_DRHS_H.stats.exp1"
"dme03060 Protein export",0.213146786583124,0.822017096242482,0.213146786583124,0.890228255986776,13,0.213146786583124,0.160533274976578,-1.0315037144326,0.160533274976578,0.695427480170784,12,0.160533274976578,0.822017096242482,0.822017096242482,0.434098251871915,0.167701523234513,0.434098251871915,0.914018345195536,23,0.434098251871915,0.222255196464034,-0.771603681671157,0.222255196464034,0.646387709952063,24,0.222255196464034,0.167701523234513,0.167701523234513,0.350477195545116,0.390524277832066,0.350477195545116,0.999851706970071,11,0.350477195545116,0.0264857975642909,-2.1224262002869,0.0264857975642909,0.132428987821455,13,0.0264857975642909,0.390524277832066,0.390524277832066,0.383295921993936,0.303630858354027,0.383295921993936,0.999486410737186,11,0.383295921993936,0.0250359550841666,-2.03697766593966,0.0250359550841667,0.125179775420833,17,0.0250359550841666,0.303630858354027,0.303630858354027,0.404416317551317,0.243908528474532,0.404416317551317,0.958959159593215,18,0.404416317551317,0.120395176467793,-1.19348401131946,0.120395176467793,0.513895481841488,24,0.120395176467793,0.243908528474532,0.243908528474532,0.332085404214247,0.445832010727999,0.332085404214247,0.9999961916896,11,0.332085404214247,0.00909065717056698,-2.55244733273277,0.009090657170567,0.045453285852835,12,0.00909065717056699,0.445832010727999,0.445832010727999,0.0207440009776452,2.13001029413139,0.0207440009776452,0.0906317136359222,16,0.0207440009776452,0.378784788837318,-0.312434887594733,0.378784788837318,0.999999946560223,13,0.378784788837318,2.13001029413139,2.13001029413139,0.199543041281969,0.850115278927213,0.199543041281969,0.691483221621246,41,0.199543041281969,0.418403669178519,-0.208633352237684,0.418403669178519,0.92276634314027,13,0.418403669178519,0.850115278927213,0.850115278927213,0.0880091292707081,1.37315074156466,0.0880091292707081,0.391025032450925,39,0.0880091292707081,0.303833473076191,-0.521003631702115,0.303833473076191,0.993273273945524,21,0.303833473076191,1.37315074156466,1.37315074156466
"dme04013 MAPK signaling pathway - fly",0.219710426521568,0.782159657414685,0.219710426521568,0.890228255986776,21,0.219710426521568,0.161061818379686,-1.00349017170093,0.161061818379685,0.695427480170784,20,0.161061818379686,0.782159657414685,0.782159657414685,0.434832033487596,0.16585125742508,0.434832033487596,0.914018345195536,13,0.434832033487596,0.237486590468644,-0.731004626984231,0.237486590468644,0.646387709952063,11,0.237486590468644,0.16585125742508,0.16585125742508,0.454455608977483,0.115668950687765,0.454455608977483,0.999851706970071,21,0.454455608977483,0.0365165934991958,-1.85030100111982,0.0365165934991958,0.167367720204648,18,0.0365165934991958,0.115668950687765,0.115668950687765,0.408461387155684,0.233714800424951,0.408461387155684,0.999486410737186,16,0.408461387155684,0.0282146083634271,-2.02111034132495,0.0282146083634271,0.129316954999041,12,0.0282146083634271,0.233714800424951,0.233714800424951,0.449737026211233,0.127910167815783,0.449737026211233,0.958959159593215,12,0.449737026211233,0.121390891606384,-1.22721133205654,0.121390891606384,0.513895481841488,13,0.121390891606384,0.127910167815783,0.127910167815783,0.336487152273159,0.430091560849935,0.336487152273159,0.9999961916896,13,0.336487152273159,0.0105825867868974,-2.5292955212922,0.0105825867868974,0.0485035227732796,13,0.0105825867868974,0.430091560849935,0.430091560849935,0.0208291923899098,2.12986001942814,0.0208291923899098,0.0906317136359222,17,0.0208291923899098,0.474534205868747,-0.064405619565669,0.474534205868747,0.999999946560223,18,0.474534205868747,2.12986001942814,2.12986001942814,0.205735801493641,0.833790273388481,0.205735801493641,0.691483221621246,15,0.205735801493641,0.424880081881058,-0.191669591468812,0.424880081881058,0.92276634314027,12,0.424880081881058,0.833790273388481,0.833790273388481,0.0899541094226702,1.3621161421468,0.0899541094226702,0.391025032450925,25,0.0899541094226702,0.313169038197057,-0.496108869199777,0.313169038197057,0.993273273945524,16,0.313169038197057,1.3621161421468,1.3621161421468
"dme01212 Fatty acid metabolism",0.236521207109243,0.732957312613828,0.236521207109243,0.890228255986776,10,0.236521207109243,0.208400439964039,-0.837443593325154,0.208400439964039,0.695427480170784,11,0.208400439964039,0.732957312613828,0.732957312613828,0.435971096965652,0.162707586066183,0.435971096965652,0.914018345195536,18,0.435971096965652,0.239521546495165,-0.717970710091718,0.239521546495165,0.646387709952063,16,0.239521546495165,0.162707586066183,0.162707586066183,0.460174829501104,0.100783158067891,0.460174829501104,0.999851706970071,20,0.460174829501104,0.0398430704204087,-1.87457158524269,0.0398430704204088,0.168566836394037,12,0.0398430704204087,0.100783158067891,0.100783158067891,0.426523466332944,0.186378276130938,0.426523466332944,0.999486410737186,39,0.426523466332944,0.0425591155172889,-1.8230175812457,0.042559115517289,0.180057796419299,13,0.0425591155172889,0.186378276130938,0.186378276130938,0.457774183789038,0.106673636875686,0.457774183789038,0.958959159593215,24,0.457774183789038,0.12634943703863,-1.18269064701177,0.12634943703863,0.513895481841488,18,0.12634943703863,0.106673636875686,0.106673636875686,0.34592536337816,0.402477514060121,0.34592536337816,0.9999961916896,12,0.34592536337816,0.0160011547267749,-2.21831566892209,0.0160011547267749,0.06298250293795,22,0.0160011547267749,0.402477514060121,0.402477514060121,0.0214220414048543,2.08086274509981,0.0214220414048543,0.0906317136359222,25,0.0214220414048543,0.496978846208755,-0.00769831161127885,0.496978846208755,0.999999946560223,14,0.496978846208755,2.08086274509981,2.08086274509981,0.214160474376194,0.820788125363049,0.214160474376194,0.691483221621246,12,0.214160474376194,0.426137259353624,-0.188436747712243,0.426137259353624,0.92276634314027,12,0.426137259353624,0.820788125363049,0.820788125363049,0.0924240985793094,1.36410393261928,0.0924240985793095,0.391025032450925,19,0.0924240985793094,0.450185183605273,-0.126274631701199,0.450185183605273,0.993273273945524,21,0.450185183605273,1.36410393261928,1.36410393261928
"dme00520 Amino sugar and nucleotide sugar metabolism",0.238788697981303,0.719322944327315,0.238788697981303,0.890228255986776,23,0.238788697981303,0.22131455759381,-0.788859267394727,0.22131455759381,0.695427480170784,12,0.22131455759381,0.719322944327315,0.719322944327315,0.440356865499872,0.153278948341021,0.440356865499872,0.914018345195536,11,0.440356865499872,0.247901297677473,-0.695999391186559,0.247901297677473,0.646387709952063,17,0.247901297677473,0.153278948341021,0.153278948341021,0.462236482095865,0.0958242974810204,0.462236482095865,0.999851706970071,16,0.462236482095865,0.0598541832492848,-1.59117370857628,0.0598541832492848,0.235141434193619,22,0.0598541832492848,0.0958242974810204,0.0958242974810204,0.461624252942806,0.0977588623410135,0.461624252942806,0.999486410737186,10,0.461624252942806,0.0468974483181396,-1.72679448384343,0.0468974483181396,0.184239975535548,19,0.0468974483181396,0.0977588623410135,0.0977588623410135,0.460850956483855,0.0997323525599857,0.460850956483855,0.958959159593215,14,0.460850956483855,0.158566673759642,-1.04695569859639,0.158566673759642,0.513895481841488,12,0.158566673759642,0.0997323525599857,0.0997323525599857,0.365495398066451,0.352662422265008,0.365495398066451,0.9999961916896,11,0.365495398066451,0.0160319098387509,-2.24354750618525,0.0160319098387509,0.06298250293795,17,0.0160319098387509,0.352662422265008,0.352662422265008,0.0285217339799692,2.02903228351792,0.0285217339799692,0.106471033357435,12,0.0285217339799692,0.552979601210866,0.134230134003119,0.552979601210866,0.999999946560223,21,0.552979601210866,2.02903228351792,2.02903228351792,0.245505703653958,0.710598775604202,0.245505703653958,0.691483221621246,12,0.245505703653958,0.432758283835086,-0.171330467209859,0.432758283835086,0.92276634314027,14,0.432758283835086,0.710598775604202,0.710598775604202,0.110332273048794,1.26992789569699,0.110332273048794,0.41570266216489,12,0.110332273048794,0.470199755668953,-0.0758785121837025,0.470199755668953,0.993273273945524,17,0.470199755668953,1.26992789569699,1.26992789569699
"dme04070 Phosphatidylinositol signaling system",0.283994356847783,0.582479177279011,0.283994356847783,0.890228255986776,14,0.283994356847783,0.231853196310958,-0.751494244651586,0.231853196310958,0.695427480170784,12,0.231853196310958,0.582479177279011,0.582479177279011,0.445713872726371,0.138794333937128,0.445713872726371,0.914018345195536,14,0.445713872726371,0.248674866898657,-0.691903783222667,0.248674866898657,0.646387709952063,11,0.248674866898657,0.138794333937128,0.138794333937128,0.522262109812151,-0.0563138985943933,0.522262109812151,0.999851706970071,16,0.522262109812151,0.0796426862835787,-1.44306675888576,0.0796426862835788,0.275317388453597,19,0.0796426862835787,-0.0563138985943933,-0.0563138985943933,0.479170016103851,0.0527853008769167,0.479170016103851,0.999486410737186,21,0.479170016103851,0.0507115654673145,-1.70366369176645,0.0507115654673145,0.185942406713486,14,0.0507115654673144,0.0527853008769167,0.0527853008769167,0.463116878622578,0.0937786968454712,0.463116878622578,0.958959159593215,16,0.463116878622578,0.165300885876112,-0.983364186681127,0.165300885876112,0.513895481841488,24,0.165300885876112,0.0937786968454712,0.0937786968454712,0.367394412855701,0.344398428831162,0.367394412855701,0.9999961916896,11,0.367394412855701,0.0361744318800947,-1.86371316119411,0.0361744318800947,0.132639583560347,19,0.0361744318800947,0.344398428831162,0.344398428831162,0.0296548888270184,1.93395053812248,0.0296548888270184,0.106471033357435,24,0.0296548888270184,0.56479549359753,0.164235637014318,0.56479549359753,0.999999946560223,21,0.56479549359753,1.93395053812248,1.93395053812248,0.264541808256656,0.634654092240419,0.264541808256656,0.691483221621246,24,0.264541808256656,0.437487979868751,-0.159562748664584,0.437487979868751,0.92276634314027,18,0.437487979868751,0.634654092240419,0.634654092240419,0.113373453317697,1.26534006697973,0.113373453317697,0.41570266216489,13,0.113373453317697,0.50099667446046,0.00255097866964736,0.50099667446046,0.993273273945524,11,0.50099667446046,1.26534006697973,1.26534006697973
"dme00981 Insect hormone biosynthesis",0.284000311678458,0.579734088874706,0.284000311678458,0.890228255986776,12,0.284000311678458,0.23580228129021,-0.731001726208867,0.235802281290211,0.695427480170784,17,0.235802281290211,0.579734088874706,0.579734088874706,0.462663206388619,0.0954028057494862,0.462663206388619,0.914018345195536,10,0.462663206388619,0.2499290793757,-0.687548458927886,0.2499290793757,0.646387709952063,15,0.2499290793757,0.0954028057494862,0.0954028057494862,0.529801046673074,-0.0764897996924115,0.529801046673074,0.999851706970071,11,0.529801046673074,0.080092331186501,-1.44682022301862,0.080092331186501,0.275317388453597,14,0.080092331186501,-0.0764897996924115,-0.0764897996924115,0.482670690002449,0.0444615917559714,0.482670690002449,0.999486410737186,11,0.482670690002449,0.0543265280266703,-1.63816858551701,0.0543265280266703,0.186747440091679,25,0.0543265280266703,0.0444615917559714,0.0444615917559714,0.517973405200422,-0.0459485641538504,0.517973405200422,0.958959159593215,11,0.517973405200422,0.167234668361101,-0.980189137767523,0.167234668361101,0.513895481841488,19,0.167234668361101,-0.0459485641538504,-0.0459485641538504,0.44525146320538,0.139348128164057,0.44525146320538,0.9999961916896,18,0.44525146320538,0.0414582160640581,-1.82078070471134,0.0414582160640581,0.1425126177202,12,0.0414582160640581,0.139348128164057,0.139348128164057,0.0318095059332277,1.90948559477265,0.0318095059332278,0.106471033357435,22,0.0318095059332277,0.647497511752513,0.38334214596717,0.647497511752513,0.999999946560223,14,0.647497511752513,1.90948559477265,1.90948559477265,0.270480730866033,0.628621968179549,0.270480730866033,0.691483221621246,13,0.270480730866033,0.438184850078024,-0.157109972459891,0.438184850078024,0.92276634314027,18,0.438184850078024,0.628621968179549,0.628621968179549,0.131013891599711,1.14159909998302,0.131013891599711,0.450360252374007,19,0.131013891599711,0.503930337244873,0.00997125608732125,0.503930337244873,0.993273273945524,16,0.503930337244873,1.14159909998302,1.14159909998302
"dme01100 Metabolic pathways",0.292436254006661,0.546566822614084,0.292436254006661,0.890228255986776,317,0.292436254006661,0.243533061174882,-0.706352004995097,0.243533061174882,0.695427480170784,19,0.243533061174882,0.546566822614084,0.546566822614084,0.468839541106342,0.079086801905629,0.468839541106342,0.914018345195536,12,0.468839541106342,0.252834115463263,-0.676113595376957,0.252834115463263,0.646387709952063,14,0.252834115463263,0.079086801905629,0.079086801905629,0.573185262966481,-0.185749412089391,0.573185262966481,0.999851706970071,22,0.573185262966481,0.107788164789188,-1.31222590547605,0.107788164789188,0.348726415494431,10,0.107788164789188,-0.185749412089391,-0.185749412089391,0.543509439065902,-0.110532267255452,0.543509439065902,0.999486410737186,15,0.543509439065902,0.0580797290308347,-1.60423179890286,0.0580797290308347,0.187905005687995,22,0.0580797290308347,-0.110532267255452,-0.110532267255452,0.524325933431899,-0.0614852048684289,0.524325933431899,0.958959159593215,21,0.524325933431899,0.179749535908372,-0.936986223221276,0.179749535908372,0.513895481841488,21,0.179749535908372,-0.0614852048684289,-0.0614852048684289,0.490521048887641,0.0240740948974504,0.490521048887641,0.9999961916896,15,0.490521048887641,0.0488230766337416,-1.78111876993134,0.0488230766337417,0.154659800341495,13,0.0488230766337416,0.0240740948974504,0.0240740948974504,0.0336350636325809,1.99483353059088,0.0336350636325809,0.106471033357435,11,0.0336350636325809,0.649726848352533,0.391121227407602,0.649726848352533,0.999999946560223,11,0.649726848352533,1.99483353059088,1.99483353059088,0.288545291414653,0.56338997290297,0.288545291414653,0.691483221621246,18,0.288545291414653,0.440174125778964,-0.154401133587784,0.440174125778964,0.92276634314027,10,0.440174125778964,0.56338997290297,0.56338997290297,0.159940398183005,1.00805094127134,0.159940398183005,0.504015649843865,25,0.159940398183005,0.520279726428649,0.0515247539975244,0.520279726428649,0.993273273945524,14,0.520279726428649,1.00805094127134,1.00805094127134
"dme04146 Peroxisome",0.307115184567924,0.509043318268837,0.307115184567924,0.890228255986776,18,0.307115184567924,0.254197476882141,-0.669818839794609,0.254197476882141,0.695427480170784,24,0.254197476882141,0.509043318268837,0.509043318268837,0.491357075451767,0.0221287478597525,0.491357075451767,0.914018345195536,12,0.491357075451767,0.25962828163695,-0.653280626692119,0.25962828163695,0.646387709952063,16,0.25962828163695,0.0221287478597525,0.0221287478597525,0.631872147615111,-0.345393165753458,0.631872147615111,0.999851706970071,11,0.631872147615111,0.123837872723822,-1.18372088799724,0.123837872723822,0.369937580229629,14,0.123837872723822,-0.345393165753458,-0.345393165753458,0.589120820124765,-0.227859290451307,0.589120820124765,0.999486410737186,16,0.589120820124765,0.0628615962275252,-1.55782338388606,0.0628615962275252,0.192077099584105,30,0.0628615962275252,-0.227859290451307,-0.227859290451307,0.52609007723626,-0.0668906052751268,0.52609007723626,0.958959159593215,10,0.52609007723626,0.187574454184731,-0.915210459567054,0.187574454184731,0.513895481841488,15,0.187574454184731,-0.0668906052751268,-0.0668906052751268,0.521539061097216,-0.0545023979670419,0.521539061097216,0.9999961916896,16,0.521539061097216,0.0506300842587314,-1.73930310448051,0.0506300842587315,0.154659800341495,10,0.0506300842587314,-0.0545023979670419,-0.0545023979670419,0.0360872207284612,1.9658171431341,0.0360872207284612,0.106471033357435,12,0.0360872207284612,0.694134818578539,0.515824075397644,0.694134818578539,0.999999946560223,11,0.694134818578539,1.9658171431341,1.9658171431341,0.301017999918186,0.528397464019173,0.301017999918186,0.691483221621246,21,0.301017999918186,0.477340248472043,-0.0573121222313175,0.477340248472043,0.92276634314027,16,0.477340248472043,0.528397464019173,0.528397464019173,0.178141997801355,0.949620154444095,0.178141997801355,0.504015649843865,13,0.178141997801355,0.52165625624335,0.0556394151884661,0.52165625624335,0.993273273945524,10,0.52165625624335,0.949620154444095,0.949620154444095
"dme00982 Drug metabolism - cytochrome P450",0.307533397522704,0.506507165583049,0.307533397522704,0.890228255986776,24,0.307533397522704,0.259502912136056,-0.655331951409491,0.259502912136056,0.695427480170784,14,0.259502912136056,0.506507165583049,0.506507165583049,0.493107962155434,0.0174766798796393,0.493107962155434,0.914018345195536,12,0.493107962155434,0.26546845120823,-0.631827254244595,0.26546845120823,0.646387709952063,24,0.26546845120823,0.0174766798796393,0.0174766798796393,0.640457323070381,-0.361935569341784,0.640457323070381,0.999851706970071,24,0.640457323070381,0.127796618624781,-1.17067373925744,0.127796618624781,0.369937580229629,11,0.127796618624781,-0.361935569341784,-0.361935569341784,0.591330091001587,-0.234181830711542,0.591330091001587,0.999486410737186,18,0.591330091001587,0.0731818158141773,-1.50749587257256,0.0731818158141773,0.211842098409461,12,0.0731818158141773,-0.234181830711542,-0.234181830711542,0.571488394177915,-0.181822663422772,0.571488394177915,0.958959159593215,20,0.571488394177915,0.195767744090413,-0.873973028119087,0.195767744090413,0.513895481841488,14,0.195767744090413,-0.181822663422772,-0.181822663422772,0.535810655384709,-0.0905724736086165,0.535810655384709,0.9999961916896,18,0.535810655384709,0.0534279310270621,-1.64058352739615,0.0534279310270621,0.154659800341495,39,0.0534279310270621,-0.0905724736086165,-0.0905724736086165,0.0367809024325684,1.85734083918894,0.0367809024325684,0.106471033357435,18,0.0367809024325684,0.704847609807935,0.547183964109693,0.704847609807935,0.999999946560223,16,0.704847609807935,1.85734083918894,1.85734083918894,0.303628272064576,0.518127053880471,0.303628272064576,0.691483221621246,22,0.303628272064576,0.495705973221332,-0.010859837781917,0.495705973221332,0.92276634314027,16,0.495705973221332,0.518127053880471,0.518127053880471,0.186793203850399,0.905977673378592,0.186793203850399,0.504015649843865,17,0.186793203850399,0.547777730554835,0.121452898962591,0.547777730554835,0.993273273945524,14,0.547777730554835,0.905977673378592,0.905977673378592
"dme00510 N-Glycan biosynthesis",0.339509033445849,0.421228964178823,0.339509033445849,0.910524231629163,12,0.339509033445849,0.259809382939142,-0.652798636297209,0.259809382939142,0.695427480170784,15,0.259809382939142,0.421228964178823,0.421228964178823,0.507648876164035,-0.0193074937489992,0.507648876164035,0.914018345195536,20,0.507648876164035,0.285692509967546,-0.574224028268957,0.285692509967546,0.646387709952063,21,0.285692509967546,-0.0193074937489992,-0.0193074937489992,0.663413807186465,-0.429274262620106,0.663413807186465,0.999851706970071,10,0.663413807186465,0.13698727542764,-1.11464815287349,0.13698727542764,0.376715007426011,16,0.13698727542764,-0.429274262620106,-0.429274262620106,0.638677656545148,-0.359781211559841,0.638677656545148,0.999486410737186,12,0.638677656545148,0.0811151856325777,-1.42369153538014,0.0811151856325778,0.221265571910116,24,0.0811151856325777,-0.359781211559841,-0.359781211559841,0.603738932797979,-0.268828293832997,0.603738932797979,0.958959159593215,12,0.603738932797979,0.212042889929153,-0.810622711672214,0.212042889929153,0.513895481841488,16,0.212042889929153,-0.268828293832997,-0.268828293832997,0.618312559541038,-0.305656528263877,0.618312559541038,0.9999961916896,16,0.618312559541038,0.0696715629731086,-1.5252795431213,0.0696715629731086,0.191596798176049,14,0.0696715629731086,-0.305656528263877,-0.305656528263877,0.0446997355693867,1.73999049136396,0.0446997355693867,0.111488479400362,24,0.0446997355693867,0.716269962364914,0.579420270798359,0.716269962364914,0.999999946560223,14,0.716269962364914,1.73999049136396,1.73999049136396,0.31654603542509,0.48362945709317,0.31654603542509,0.691483221621246,21,0.31654603542509,0.508848062682321,0.0224732612870074,0.508848062682321,0.92276634314027,14,0.508848062682321,0.48362945709317,0.48362945709317,0.189426754010018,0.911587288205882,0.189426754010018,0.504015649843865,10,0.189426754010018,0.56928845284413,0.177461060448843,0.56928845284413,0.993273273945524,11,0.56928845284413,0.911587288205882,0.911587288205882
"dme00980 Metabolism of xenobiotics by cytochrome P450",0.347654706622044,0.394168074620013,0.347654706622044,0.910524231629163,25,0.347654706622044,0.265526856065209,-0.630226373506318,0.265526856065209,0.695427480170784,41,0.265526856065209,0.394168074620013,0.394168074620013,0.543641649617535,-0.111427600868614,0.543641649617535,0.914018345195536,15,0.543641649617535,0.309936538224623,-0.500208899847522,0.309936538224624,0.646387709952063,22,0.309936538224624,-0.111427600868614,-0.111427600868614,0.672858914395521,-0.450265718362308,0.672858914395521,0.999851706970071,30,0.672858914395521,0.1582381291669,-1.03107695592935,0.1582381291669,0.414433195437118,16,0.1582381291669,-0.450265718362308,-0.450265718362308,0.63900049654012,-0.361992387195132,0.63900049654012,0.999486410737186,15,0.63900049654012,0.0844832183656807,-1.39795852106978,0.0844832183656807,0.221265571910116,39,0.0844832183656807,-0.361992387195132,-0.361992387195132,0.618056546712719,-0.307212902504305,0.618056546712719,0.958959159593215,11,0.618056546712719,0.217490710206856,-0.788256684098409,0.217490710206856,0.513895481841488,22,0.217490710206856,-0.307212902504305,-0.307212902504305,0.671965205027913,-0.448941327306724,0.671965205027913,0.9999961916896,22,0.671965205027913,0.104167804383183,-1.28622018803338,0.104167804383183,0.272689540694815,16,0.104167804383183,-0.448941327306724,-0.448941327306724,0.0451546059307962,1.74848945796294,0.0451546059307962,0.111488479400362,23,0.0451546059307962,0.76796167488148,0.752433790608996,0.76796167488148,0.999999946560223,10,0.76796167488148,1.74848945796294,1.74848945796294,0.319271708613555,0.472253268466705,0.319271708613555,0.691483221621246,30,0.319271708613555,0.526038724982432,0.0663844978973382,0.526038724982432,0.92276634314027,10,0.526038724982432,0.472253268466705,0.472253268466705,0.192442339031294,0.879686690101373,0.192442339031294,0.504015649843865,24,0.192442339031294,0.579614712209909,0.203477584592445,0.579614712209909,0.993273273945524,12,0.579614712209909,0.879686690101373,0.879686690101373
"dme00240 Pyrimidine metabolism",0.380407643088689,0.309290074252994,0.380407643088689,0.925032825324836,10,0.380407643088689,0.295661816103388,-0.549360669337081,0.295661816103388,0.739154540258471,13,0.295661816103388,0.309290074252994,0.309290074252994,0.555827264638416,-0.140459880012059,0.555827264638416,0.914018345195536,317,0.555827264638416,0.320280373324083,-0.470139200797331,0.320280373324083,0.646387709952063,39,0.320280373324083,-0.140459880012059,-0.140459880012059,0.69589165146766,-0.516063230562549,0.69589165146766,0.999851706970071,25,0.69589165146766,0.171275068121009,-0.965342977195259,0.171275068121009,0.428187670302523,16,0.171275068121009,-0.516063230562549,-0.516063230562549,0.672427902547025,-0.454338406139717,0.672427902547025,0.999486410737186,11,0.672427902547025,0.0929258698946373,-1.37899238140992,0.0929258698946373,0.228462382270829,11,0.0929258698946373,-0.454338406139717,-0.454338406139717,0.628968355723216,-0.333371153914934,0.628968355723216,0.958959159593215,15,0.628968355723216,0.227064661450974,-0.772760465005301,0.227064661450974,0.513895481841488,13,0.227064661450974,-0.333371153914934,-0.333371153914934,0.686898217200602,-0.499510644645433,0.686898217200602,0.9999961916896,10,0.686898217200602,0.109075816277926,-1.24847630224515,0.109075816277926,0.272689540694815,25,0.109075816277926,-0.499510644645433,-0.499510644645433,0.046573836133436,1.76777198013094,0.046573836133436,0.111488479400362,17,0.046573836133436,0.794488750780644,0.839602120928386,0.794488750780644,0.999999946560223,12,0.794488750780644,1.76777198013094,1.76777198013094,0.326180109160898,0.453468676716524,0.326180109160898,0.691483221621246,25,0.326180109160898,0.563220392410738,0.161036268430261,0.563220392410738,0.92276634314027,16,0.563220392410738,0.453468676716524,0.453468676716524,0.208429320424891,0.819773475345815,0.208429320424891,0.521073301062226,30,0.208429320424891,0.588158070062419,0.225472151824888,0.588158070062419,0.993273273945524,13,0.588158070062419,0.819773475345815,0.819773475345815
